
       Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
  137  6500  3.00  0.50  2.00  1.25  0.00 -17.197 -17.844 -17.738 -24.765  -0.055   0.253   0.497   0.481
  138  6500  3.50  0.50  2.00  1.25  0.00 -17.234 -17.826 -17.724 -24.765  -0.069   0.197   0.502   0.486
  139  6500  4.00  0.50  2.00  1.25  0.00 -17.267 -17.808 -17.711 -24.765  -0.082   0.147   0.507   0.491
  140  6500  4.50  0.50  2.00  1.25  0.00 -17.295 -17.792 -17.700 -24.765  -0.093   0.102   0.512   0.496
  141  6500  5.00  0.50  2.00  1.25  0.00 -17.315 -17.776 -17.690 -24.765  -0.103   0.067   0.517   0.501
  142  6750  0.50  0.50  2.00  1.25  0.00 -17.435 -18.233 -17.981 -24.929   0.024   0.401   0.352   0.336
  143  6750  1.00  0.50  2.00  1.25  0.00 -17.412 -18.213 -17.971 -24.929   0.014   0.404   0.362   0.346
  144  6750  1.50  0.50  2.00  1.25  0.00 -17.405 -18.187 -17.962 -24.929   0.005   0.385   0.378   0.362
  145  6750  2.00  0.50  2.00  1.25  0.00 -17.414 -18.153 -17.953 -24.929  -0.004   0.342   0.403   0.387
  146  6750  2.50  0.50  2.00  1.25  0.00 -17.438 -18.124 -17.940 -24.929  -0.017   0.290   0.420   0.404
  147  6750  3.00  0.50  2.00  1.25  0.00 -17.469 -18.099 -17.926 -24.929  -0.031   0.234   0.430   0.414
  148  6750  3.50  0.50  2.00  1.25  0.00 -17.501 -18.075 -17.910 -24.929  -0.047   0.177   0.439   0.423
  149  6750  4.00  0.50  2.00  1.25  0.00 -17.533 -18.052 -17.896 -24.929  -0.061   0.121   0.448   0.432
  150  6750  4.50  0.50  2.00  1.25  0.00 -17.563 -18.030 -17.882 -24.929  -0.075   0.069   0.456   0.440
  151  6750  5.00  0.50  2.00  1.25  0.00 -17.589 -18.010 -17.870 -24.929  -0.087   0.025   0.464   0.448
  152  7000  0.50  0.50  2.00  1.25  0.00 -17.755 -18.479 -18.145 -25.087   0.030   0.321   0.270   0.254
  153  7000  1.00  0.50  2.00  1.25  0.00 -17.719 -18.464 -18.138 -25.087   0.023   0.344   0.278   0.262
  154  7000  1.50  0.50  2.00  1.25  0.00 -17.695 -18.442 -18.131 -25.087   0.016   0.346   0.292   0.276
  155  7000  2.00  0.50  2.00  1.25  0.00 -17.686 -18.411 -18.122 -25.087   0.007   0.324   0.315   0.299
  156  7000  2.50  0.50  2.00  1.25  0.00 -17.694 -18.372 -18.114 -25.087  -0.001   0.278   0.345   0.329
  157  7000  3.00  0.50  2.00  1.25  0.00 -17.714 -18.338 -18.100 -25.087  -0.015   0.224   0.365   0.349
  158  7000  3.50  0.50  2.00  1.25  0.00 -17.741 -18.308 -18.085 -25.087  -0.030   0.168   0.380   0.364
  159  7000  4.00  0.50  2.00  1.25  0.00 -17.771 -18.279 -18.069 -25.087  -0.046   0.109   0.393   0.377
  160  7000  4.50  0.50  2.00  1.25  0.00 -17.801 -18.252 -18.053 -25.087  -0.062   0.051   0.405   0.389
  161  7000  5.00  0.50  2.00  1.25  0.00 -17.830 -18.227 -18.039 -25.087  -0.076  -0.001   0.415   0.399
  162  7250  0.50  0.50  2.00  1.25  0.00 -18.041 -18.687 -18.297 -25.239   0.030   0.240   0.214   0.198
  163  7250  1.00  0.50  2.00  1.25  0.00 -18.004 -18.690 -18.291 -25.239   0.023   0.281   0.204   0.188
  164  7250  1.50  0.50  2.00  1.25  0.00 -17.966 -18.671 -18.286 -25.239   0.019   0.300   0.219   0.203
  165  7250  2.00  0.50  2.00  1.25  0.00 -17.942 -18.645 -18.280 -25.239   0.012   0.298   0.238   0.222
  166  7250  2.50  0.50  2.00  1.25  0.00 -17.933 -18.609 -18.272 -25.239   0.004   0.273   0.266   0.250
  167  7250  3.00  0.50  2.00  1.25  0.00 -17.939 -18.564 -18.262 -25.239  -0.005   0.222   0.302   0.286
  168  7250  3.50  0.50  2.00  1.25  0.00 -17.958 -18.526 -18.247 -25.239  -0.020   0.166   0.325   0.309
  169  7250  4.00  0.50  2.00  1.25  0.00 -17.984 -18.492 -18.231 -25.239  -0.037   0.106   0.342   0.326
  170  7250  4.50  0.50  2.00  1.25  0.00 -18.014 -18.459 -18.214 -25.239  -0.054   0.045   0.358   0.342
  171  7250  5.00  0.50  2.00  1.25  0.00 -18.045 -18.430 -18.198 -25.239  -0.070  -0.015   0.371   0.355
  172  7500  0.50  0.50  2.00  1.25  0.00 -18.285 -18.836 -18.433 -25.386   0.018   0.142   0.200   0.184
  173  7500  1.00  0.50  2.00  1.25  0.00 -18.266 -18.888 -18.430 -25.386   0.015   0.213   0.145   0.129
  174  7500  1.50  0.50  2.00  1.25  0.00 -18.221 -18.877 -18.428 -25.386   0.013   0.248   0.154   0.138
  175  7500  2.00  0.50  2.00  1.25  0.00 -18.183 -18.853 -18.424 -25.386   0.010   0.263   0.174   0.158
  176  7500  2.50  0.50  2.00  1.25  0.00 -18.158 -18.823 -18.418 -25.386   0.003   0.259   0.199   0.183
  177  7500  3.00  0.50  2.00  1.25  0.00 -18.149 -18.780 -18.410 -25.386  -0.005   0.226   0.233   0.217
  178  7500  3.50  0.50  2.00  1.25  0.00 -18.158 -18.732 -18.398 -25.386  -0.016   0.170   0.270   0.254
  179  7500  4.00  0.50  2.00  1.25  0.00 -18.177 -18.691 -18.382 -25.386  -0.032   0.110   0.295   0.279
  180  7500  4.50  0.50  2.00  1.25  0.00 -18.204 -18.653 -18.364 -25.386  -0.050   0.047   0.315   0.299
  181  7500  5.00  0.50  2.00  1.25  0.00 -18.236 -18.619 -18.347 -25.386  -0.068  -0.019   0.331   0.315
  182  7750  1.00  0.50  2.00  1.25  0.00 -18.501 -19.055 -18.557 -25.529   0.000   0.142   0.106   0.090
  183  7750  1.50  0.50  2.00  1.25  0.00 -18.457 -19.061 -18.557 -25.529   0.000   0.192   0.100   0.084
  184  7750  2.00  0.50  2.00  1.25  0.00 -18.409 -19.042 -18.557 -25.529   0.000   0.222   0.118   0.102
  185  7750  2.50  0.50  2.00  1.25  0.00 -18.372 -19.013 -18.553 -25.529  -0.004   0.231   0.143   0.127
  186  7750  3.00  0.50  2.00  1.25  0.00 -18.350 -18.977 -18.546 -25.529  -0.011   0.220   0.172   0.156
  187  7750  3.50  0.50  2.00  1.25  0.00 -18.344 -18.928 -18.537 -25.529  -0.020   0.178   0.212   0.196
  188  7750  4.00  0.50  2.00  1.25  0.00 -18.355 -18.878 -18.523 -25.529  -0.034   0.118   0.249   0.233
  189  7750  4.50  0.50  2.00  1.25  0.00 -18.377 -18.835 -18.506 -25.529  -0.051   0.054   0.274   0.258
  190  7750  5.00  0.50  2.00  1.25  0.00 -18.407 -18.796 -18.487 -25.529  -0.070  -0.015   0.295   0.279
  191  8000  1.00  0.50  2.00  1.25  0.00 -18.711 -19.182 -18.667 -25.667  -0.028   0.057   0.089   0.073
  192  8000  1.50  0.50  2.00  1.25  0.00 -18.676 -19.219 -18.675 -25.667  -0.020   0.129   0.059   0.043
  193  8000  2.00  0.50  2.00  1.25  0.00 -18.625 -19.210 -18.676 -25.667  -0.019   0.171   0.070   0.054
  194  8000  2.50  0.50  2.00  1.25  0.00 -18.578 -19.184 -18.676 -25.667  -0.019   0.195   0.095   0.079
  195  8000  3.00  0.50  2.00  1.25  0.00 -18.542 -19.151 -18.671 -25.667  -0.024   0.199   0.124   0.108
  196  8000  3.50  0.50  2.00  1.25  0.00 -18.521 -19.110 -18.664 -25.667  -0.031   0.181   0.157   0.141
  197  8000  4.00  0.50  2.00  1.25  0.00 -18.521 -19.056 -18.653 -25.667  -0.042   0.128   0.200   0.184
  198  8000  4.50  0.50  2.00  1.25  0.00 -18.538 -19.006 -18.638 -25.667  -0.057   0.063   0.236   0.220
  199  8000  5.00  0.50  2.00  1.25  0.00 -18.564 -18.962 -18.619 -25.667  -0.076  -0.007   0.261   0.245
  200  8250  1.00  0.50  2.00  1.25  0.00 -18.900 -19.273 -18.754 -25.800  -0.074  -0.043   0.084   0.068
  201  8250  1.50  0.50  2.00  1.25  0.00 -18.872 -19.350 -18.779 -25.800  -0.049   0.062   0.032   0.016
  202  8250  2.00  0.50  2.00  1.25  0.00 -18.825 -19.356 -18.784 -25.800  -0.044   0.115   0.032   0.016
  203  8250  2.50  0.50  2.00  1.25  0.00 -18.771 -19.338 -18.787 -25.800  -0.042   0.153   0.053   0.037
  204  8250  3.00  0.50  2.00  1.25  0.00 -18.725 -19.307 -18.786 -25.800  -0.043   0.170   0.082   0.066
  205  8250  3.50  0.50  2.00  1.25  0.00 -18.694 -19.270 -18.780 -25.800  -0.048   0.165   0.114   0.098
  206  8250  4.00  0.50  2.00  1.25  0.00 -18.680 -19.223 -18.772 -25.800  -0.057   0.136   0.152   0.136
  207  8250  4.50  0.50  2.00  1.25  0.00 -18.687 -19.167 -18.760 -25.800  -0.069   0.073   0.196   0.180
  208  8250  5.00  0.50  2.00  1.25  0.00 -18.710 -19.117 -18.743 -25.800  -0.086   0.002   0.229   0.213
  209  8500  1.50  0.50  2.00  1.25  0.00 -19.049 -19.459 -18.872 -25.930  -0.086  -0.007   0.016   0.000
  210  8500  2.00  0.50  2.00  1.25  0.00 -19.007 -19.481 -18.882 -25.930  -0.077   0.056   0.004  -0.012
  211  8500  2.50  0.50  2.00  1.25  0.00 -18.954 -19.470 -18.886 -25.930  -0.072   0.100   0.019   0.003
  212  8500  3.00  0.50  2.00  1.25  0.00 -18.904 -19.446 -18.887 -25.930  -0.071   0.128   0.045   0.029
  213  8500  3.50  0.50  2.00  1.25  0.00 -18.862 -19.413 -18.886 -25.930  -0.072   0.139   0.077   0.061
  214  8500  4.00  0.50  2.00  1.25  0.00 -18.835 -19.371 -18.880 -25.930  -0.078   0.126   0.113   0.097
  215  8500  4.50  0.50  2.00  1.25  0.00 -18.829 -19.320 -18.871 -25.930  -0.087   0.083   0.154   0.138
  216  8500  5.00  0.50  2.00  1.25  0.00 -18.846 -19.264 -18.857 -25.930  -0.101   0.011   0.197   0.181
  217  8750  1.50  0.50  2.00  1.25  0.00 -19.210 -19.550 -18.953 -26.056  -0.132  -0.079   0.006  -0.010
