
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
  152  7000  0.50  0.50  2.00  1.25  0.00 -16.983 -16.962 -18.570 -18.512 -18.154   2.332   2.330   0.141   0.230   1.587   1.586
  153  7000  1.00  0.50  2.00  1.25  0.00 -17.016 -16.995 -18.554 -18.502 -18.147   2.288   2.286   0.145   0.232   1.531   1.530
  154  7000  1.50  0.50  2.00  1.25  0.00 -17.087 -17.066 -18.525 -18.484 -18.140   2.200   2.198   0.155   0.233   1.421   1.419
  155  7000  2.00  0.50  2.00  1.25  0.00 -17.179 -17.159 -18.485 -18.459 -18.132   2.082   2.081   0.173   0.231   1.273   1.271
  156  7000  2.50  0.50  2.00  1.25  0.00 -17.285 -17.264 -18.431 -18.427 -18.124   1.944   1.943   0.197   0.228   1.092   1.091
  157  7000  3.00  0.50  2.00  1.25  0.00 -17.391 -17.370 -18.389 -18.397 -18.111   1.809   1.807   0.214   0.223   0.932   0.931
  158  7000  3.50  0.50  2.00  1.25  0.00 -17.494 -17.473 -18.354 -18.370 -18.096   1.678   1.677   0.227   0.218   0.786   0.785
  159  7000  4.00  0.50  2.00  1.25  0.00 -17.592 -17.571 -18.321 -18.344 -18.081   1.555   1.554   0.237   0.216   0.648   0.647
  160  7000  4.50  0.50  2.00  1.25  0.00 -17.681 -17.660 -18.290 -18.321 -18.066   1.443   1.441   0.244   0.216   0.519   0.518
  161  7000  5.00  0.50  2.00  1.25  0.00 -17.759 -17.738 -18.261 -18.303 -18.053   1.346   1.345   0.250   0.221   0.401   0.400
  162  7250  0.50  0.50  2.00  1.25  0.00 -17.247 -17.225 -18.798 -18.684 -18.305   2.239   2.239   0.121   0.194   1.607   1.607
  163  7250  1.00  0.50  2.00  1.25  0.00 -17.247 -17.226 -18.807 -18.689 -18.298   2.244   2.243   0.109   0.202   1.620   1.619
  164  7250  1.50  0.50  2.00  1.25  0.00 -17.300 -17.280 -18.782 -18.678 -18.294   2.179   2.178   0.116   0.208   1.528   1.527
  165  7250  2.00  0.50  2.00  1.25  0.00 -17.379 -17.358 -18.748 -18.660 -18.288   2.083   2.082   0.128   0.213   1.399   1.398
  166  7250  2.50  0.50  2.00  1.25  0.00 -17.475 -17.454 -18.699 -18.633 -18.281   1.961   1.960   0.148   0.215   1.233   1.231
  167  7250  3.00  0.50  2.00  1.25  0.00 -17.580 -17.559 -18.639 -18.599 -18.272   1.821   1.820   0.173   0.216   1.041   1.040
  168  7250  3.50  0.50  2.00  1.25  0.00 -17.684 -17.663 -18.592 -18.567 -18.258   1.685   1.684   0.191   0.214   0.874   0.873
  169  7250  4.00  0.50  2.00  1.25  0.00 -17.785 -17.764 -18.551 -18.538 -18.242   1.555   1.554   0.204   0.212   0.721   0.720
  170  7250  4.50  0.50  2.00  1.25  0.00 -17.880 -17.858 -18.513 -18.511 -18.226   1.434   1.433   0.214   0.213   0.577   0.576
  171  7250  5.00  0.50  2.00  1.25  0.00 -17.966 -17.944 -18.478 -18.488 -18.210   1.324   1.323   0.222   0.216   0.445   0.444
  172  7500  0.50  0.50  2.00  1.25  0.00 -17.545 -17.524 -18.951 -18.806 -18.442   2.062   2.062   0.136   0.148   1.492   1.492
  173  7500  1.00  0.50  2.00  1.25  0.00 -17.479 -17.457 -19.024 -18.852 -18.437   2.176   2.175   0.084   0.173   1.659   1.659
  174  7500  1.50  0.50  2.00  1.25  0.00 -17.510 -17.489 -19.011 -18.850 -18.435   2.142   2.141   0.085   0.184   1.604   1.603
  175  7500  2.00  0.50  2.00  1.25  0.00 -17.574 -17.553 -18.979 -18.838 -18.432   2.065   2.065   0.094   0.194   1.488   1.487
  176  7500  2.50  0.50  2.00  1.25  0.00 -17.657 -17.636 -18.938 -18.819 -18.426   1.965   1.964   0.107   0.204   1.341   1.341
  177  7500  3.00  0.50  2.00  1.25  0.00 -17.754 -17.733 -18.881 -18.790 -18.419   1.838   1.837   0.129   0.209   1.160   1.159
  178  7500  3.50  0.50  2.00  1.25  0.00 -17.857 -17.836 -18.817 -18.754 -18.408   1.698   1.698   0.155   0.211   0.965   0.964
  179  7500  4.00  0.50  2.00  1.25  0.00 -17.958 -17.937 -18.766 -18.721 -18.393   1.564   1.564   0.172   0.211   0.795   0.794
  180  7500  4.50  0.50  2.00  1.25  0.00 -18.056 -18.034 -18.721 -18.690 -18.376   1.437   1.436   0.185   0.213   0.638   0.638
  181  7500  5.00  0.50  2.00  1.25  0.00 -18.147 -18.126 -18.681 -18.663 -18.358   1.317   1.316   0.196   0.215   0.493   0.492
  182  7750  1.00  0.50  2.00  1.25  0.00 -17.719 -17.697 -19.200 -18.990 -18.564   2.073   2.073   0.073   0.145   1.633   1.633
