        Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
   125  6250  2.00 -4.00  2.00  1.25  0.00 -17.275 -17.690 -17.427 -24.595  -0.196   0.007   0.340   0.324
   126  6250  2.50 -4.00  2.00  1.25  0.00 -17.296 -17.643 -17.397 -24.595  -0.226  -0.060   0.357   0.341
   127  6250  3.00 -4.00  2.00  1.25  0.00 -17.319 -17.598 -17.367 -24.595  -0.256  -0.127   0.372   0.356
   128  6250  3.50 -4.00  2.00  1.25  0.00 -17.344 -17.557 -17.340 -24.595  -0.282  -0.193   0.387   0.371
   129  6250  4.00 -4.00  2.00  1.25  0.00 -17.370 -17.524 -17.320 -24.595  -0.303  -0.252   0.399   0.383
   130  6250  4.50 -4.00  2.00  1.25  0.00 -17.394 -17.500 -17.308 -24.595  -0.315  -0.300   0.412   0.396
   131  6250  5.00 -4.00  2.00  1.25  0.00 -17.410 -17.485 -17.306 -24.595  -0.317  -0.331   0.425   0.409
   132  6500  0.50 -4.00  2.00  1.25  0.00 -17.511 -18.099 -17.697 -24.765  -0.096   0.176   0.201   0.185
   133  6500  1.00 -4.00  2.00  1.25  0.00 -17.489 -18.047 -17.682 -24.765  -0.111   0.147   0.238   0.222
   134  6500  1.50 -4.00  2.00  1.25  0.00 -17.485 -17.998 -17.659 -24.765  -0.134   0.102   0.265   0.249
   135  6500  2.00 -4.00  2.00  1.25  0.00 -17.492 -17.947 -17.631 -24.765  -0.162   0.046   0.287   0.271
   136  6500  2.50 -4.00  2.00  1.25  0.00 -17.504 -17.895 -17.600 -24.765  -0.193  -0.018   0.308   0.292
   137  6500  3.00 -4.00  2.00  1.25  0.00 -17.522 -17.844 -17.568 -24.765  -0.225  -0.086   0.327   0.311
   138  6500  3.50 -4.00  2.00  1.25  0.00 -17.545 -17.797 -17.537 -24.765  -0.256  -0.156   0.344   0.328
