        Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   143  6750  1.00 -4.00  2.00  1.25  0.00 -16.959 -16.937 -18.429 -18.216 -17.873   2.059   2.059   0.157   0.059   1.626   1.626
   144  6750  1.50 -4.00  2.00  1.25  0.00 -17.072 -17.050 -18.355 -18.176 -17.857   1.906   1.905   0.181   0.068   1.405   1.405
   145  6750  2.00 -4.00  2.00  1.25  0.00 -17.189 -17.168 -18.289 -18.132 -17.832   1.744   1.744   0.201   0.071   1.199   1.199
   146  6750  2.50 -4.00  2.00  1.25  0.00 -17.306 -17.285 -18.225 -18.084 -17.802   1.580   1.579   0.218   0.070   1.002   1.001
   147  6750  3.00 -4.00  2.00  1.25  0.00 -17.419 -17.397 -18.161 -18.035 -17.769   1.419   1.418   0.234   0.069   0.811   0.811
   148  6750  3.50 -4.00  2.00  1.25  0.00 -17.524 -17.502 -18.101 -17.987 -17.736   1.265   1.265   0.249   0.066   0.633   0.633
   149  6750  4.00 -4.00  2.00  1.25  0.00 -17.620 -17.599 -18.046 -17.943 -17.705   1.124   1.124   0.262   0.063   0.471   0.471
   150  6750  4.50 -4.00  2.00  1.25  0.00 -17.705 -17.684 -18.000 -17.906 -17.680   1.002   1.002   0.274   0.060   0.332   0.331
   151  6750  5.00 -4.00  2.00  1.25  0.00 -17.775 -17.753 -17.965 -17.878 -17.663   0.905   0.905   0.285   0.057   0.219   0.218
   152  7000  0.50 -4.00  2.00  1.25  0.00 -17.052 -17.030 -18.703 -18.447 -18.058   2.197   2.197   0.111   0.062   1.849   1.850
   153  7000  1.00 -4.00  2.00  1.25  0.00 -17.120 -17.098 -18.674 -18.427 -18.044   2.110   2.110   0.117   0.065   1.743   1.743
   154  7000  1.50 -4.00  2.00  1.25  0.00 -17.215 -17.193 -18.617 -18.395 -18.029   1.981   1.981   0.135   0.072   1.566   1.566
   155  7000  2.00 -4.00  2.00  1.25  0.00 -17.325 -17.303 -18.538 -18.351 -18.012   1.828   1.828   0.161   0.081   1.342   1.342
   156  7000  2.50 -4.00  2.00  1.25  0.00 -17.437 -17.415 -18.466 -18.303 -17.985   1.668   1.668   0.182   0.084   1.134   1.134
   157  7000  3.00 -4.00  2.00  1.25  0.00 -17.550 -17.528 -18.398 -18.252 -17.952   1.505   1.504   0.200   0.083   0.936   0.936
   158  7000  3.50 -4.00  2.00  1.25  0.00 -17.658 -17.637 -18.332 -18.201 -17.918   1.345   1.344   0.217   0.081   0.747   0.746
   159  7000  4.00 -4.00  2.00  1.25  0.00 -17.761 -17.739 -18.270 -18.151 -17.883   1.193   1.192   0.232   0.079   0.570   0.569
   160  7000  4.50 -4.00  2.00  1.25  0.00 -17.855 -17.833 -18.216 -18.107 -17.853   1.054   1.054   0.246   0.075   0.411   0.411
   161  7000  5.00 -4.00  2.00  1.25  0.00 -17.937 -17.915 -18.172 -18.072 -17.829   0.937   0.936   0.258   0.071   0.278   0.278
   162  7250  0.50 -4.00  2.00  1.25  0.00 -17.258 -17.236 -18.888 -18.622 -18.215   2.165   2.166   0.093   0.070   1.838   1.839
   163  7250  1.00 -4.00  2.00  1.25  0.00 -17.293 -17.271 -18.882 -18.614 -18.204   2.123   2.123   0.090   0.071   1.800   1.800
   164  7250  1.50 -4.00  2.00  1.25  0.00 -17.367 -17.345 -18.844 -18.592 -18.190   2.027   2.027   0.099   0.078   1.671   1.671
   165  7250  2.00 -4.00  2.00  1.25  0.00 -17.461 -17.439 -18.780 -18.557 -18.175   1.898   1.898   0.118   0.088   1.484   1.484
   166  7250  2.50 -4.00  2.00  1.25  0.00 -17.566 -17.544 -18.698 -18.510 -18.155   1.746   1.745   0.145   0.096   1.261   1.261
   167  7250  3.00 -4.00  2.00  1.25  0.00 -17.675 -17.653 -18.623 -18.459 -18.126   1.587   1.586   0.167   0.099   1.054   1.054
   168  7250  3.50 -4.00  2.00  1.25  0.00 -17.783 -17.761 -18.552 -18.406 -18.091   1.425   1.425   0.185   0.098   0.857   0.857
   169  7250  4.00 -4.00  2.00  1.25  0.00 -17.889 -17.867 -18.485 -18.353 -18.055   1.266   1.266   0.202   0.095   0.670   0.669
   170  7250  4.50 -4.00  2.00  1.25  0.00 -17.989 -17.968 -18.424 -18.303 -18.021   1.116   1.116   0.218   0.091   0.496   0.496
   171  7250  5.00 -4.00  2.00  1.25  0.00 -18.080 -18.058 -18.372 -18.260 -17.991   0.982   0.982   0.231   0.086   0.345   0.344
   172  7500  0.50 -4.00  2.00  1.25  0.00 -17.502 -17.480 -19.013 -18.758 -18.356   2.058   2.059   0.098   0.076   1.708   1.709
   173  7500  1.00 -4.00  2.00  1.25  0.00 -17.482 -17.459 -19.059 -18.776 -18.348   2.097   2.097   0.071   0.075   1.801   1.802
   174  7500  1.50 -4.00  2.00  1.25  0.00 -17.531 -17.508 -19.036 -18.764 -18.339   2.036   2.036   0.074   0.083   1.720   1.720
   175  7500  2.00 -4.00  2.00  1.25  0.00 -17.606 -17.584 -18.991 -18.740 -18.325   1.936   1.936   0.085   0.093   1.578   1.578
   176  7500  2.50 -4.00  2.00  1.25  0.00 -17.698 -17.676 -18.922 -18.703 -18.309   1.807   1.807   0.106   0.104   1.385   1.385
   177  7500  3.00 -4.00  2.00  1.25  0.00 -17.799 -17.777 -18.838 -18.654 -18.287   1.657   1.657   0.133   0.112   1.165   1.165
   178  7500  3.50 -4.00  2.00  1.25  0.00 -17.904 -17.882 -18.762 -18.602 -18.256   1.499   1.499   0.155   0.114   0.961   0.961
   179  7500  4.00 -4.00  2.00  1.25  0.00 -18.010 -17.988 -18.690 -18.547 -18.220   1.339   1.339   0.173   0.112   0.766   0.765
   180  7500  4.50 -4.00  2.00  1.25  0.00 -18.113 -18.091 -18.623 -18.493 -18.183   1.182   1.182   0.191   0.108   0.582   0.582
