        Teff log g [M]a  Vturb  l/H   small     big    beta
   306 11750  3.50 -1.00  2.00  0.00 -19.735 -19.899   2.739
   307 11750  4.00 -1.00  2.00  0.00 -19.679 -19.883   2.791
   308 11750  4.50 -1.00  2.00  0.00 -19.617 -19.863   2.846
   309 11750  5.00 -1.00  2.00  0.00 -19.551 -19.837   2.898
   310 12000  2.50 -1.00  2.00  0.00 -19.869 -19.956   2.639
   311 12000  3.00 -1.00  2.00  0.00 -19.833 -19.954   2.684
   312 12000  3.50 -1.00  2.00  0.00 -19.786 -19.944   2.731
   313 12000  4.00 -1.00  2.00  0.00 -19.731 -19.928   2.782
   314 12000  4.50 -1.00  2.00  0.00 -19.671 -19.909   2.836
   315 12000  5.00 -1.00  2.00  0.00 -19.606 -19.884   2.888
   316 12250  2.50 -1.00  2.00  0.00 -19.916 -20.000   2.634
   317 12250  3.00 -1.00  2.00  0.00 -19.880 -19.997   2.678
   318 12250  3.50 -1.00  2.00  0.00 -19.835 -19.987   2.724
   319 12250  4.00 -1.00  2.00  0.00 -19.781 -19.972   2.774
   320 12250  4.50 -1.00  2.00  0.00 -19.722 -19.953   2.826
   321 12250  5.00 -1.00  2.00  0.00 -19.659 -19.929   2.878
   322 12500  2.50 -1.00  2.00  0.00 -19.961 -20.042   2.630
   323 12500  3.00 -1.00  2.00  0.00 -19.926 -20.039   2.672
   324 12500  3.50 -1.00  2.00  0.00 -19.882 -20.029   2.718
   325 12500  4.00 -1.00  2.00  0.00 -19.830 -20.014   2.766
   326 12500  4.50 -1.00  2.00  0.00 -19.772 -19.996   2.817
   327 12500  5.00 -1.00  2.00  0.00 -19.710 -19.973   2.868
   328 12750  2.50 -1.00  2.00  0.00 -20.005 -20.082   2.626
   329 12750  3.00 -1.00  2.00  0.00 -19.971 -20.080   2.667
   330 12750  3.50 -1.00  2.00  0.00 -19.927 -20.070   2.712
   331 12750  4.00 -1.00  2.00  0.00 -19.876 -20.055   2.759
   332 12750  4.50 -1.00  2.00  0.00 -19.820 -20.037   2.809
   333 12750  5.00 -1.00  2.00  0.00 -19.759 -20.015   2.859
   334 13000  2.50 -1.00  2.00  0.00 -20.047 -20.122   2.622
   335 13000  3.00 -1.00  2.00  0.00 -20.013 -20.119   2.663
   336 13000  3.50 -1.00  2.00  0.00 -19.970 -20.109   2.706
   337 13000  4.00 -1.00  2.00  0.00 -19.921 -20.095   2.752
   338 13000  4.50 -1.00  2.00  0.00 -19.866 -20.077   2.801
   339 13000  5.00 -1.00  2.00  0.00 -19.807 -20.056   2.850
   340 14000  2.00 -1.00  2.00  0.00 -20.222 -20.254   2.568
