        Teff log g  [M]a Vturb  l/H   small     big    beta
   255 10000  2.50  0.00  2.00  0.00 -19.479 -19.612   2.688
   256 10000  3.00  0.00  2.00  0.00 -19.426 -19.604   2.749
   257 10000  3.50  0.00  2.00  0.00 -19.362 -19.587   2.813
   258 10000  4.00  0.00  2.00  0.00 -19.294 -19.564   2.875
   259 10000  4.50  0.00  2.00  0.00 -19.228 -19.535   2.926
   260 10000  5.00  0.00  2.00  0.00 -19.168 -19.503   2.963
   261 10250  2.00  0.00  2.00  0.00 -19.581 -19.664   2.620
   262 10250  2.50  0.00  2.00  0.00 -19.550 -19.674   2.676
   263 10250  3.00  0.00  2.00  0.00 -19.500 -19.667   2.735
   264 10250  3.50  0.00  2.00  0.00 -19.438 -19.651   2.797
   265 10250  4.00  0.00  2.00  0.00 -19.370 -19.628   2.859
   266 10250  4.50  0.00  2.00  0.00 -19.302 -19.600   2.914
   267 10250  5.00  0.00  2.00  0.00 -19.240 -19.569   2.956
   268 10500  2.00  0.00  2.00  0.00 -19.644 -19.721   2.618
   269 10500  2.50  0.00  2.00  0.00 -19.617 -19.733   2.671
   270 10500  3.00  0.00  2.00  0.00 -19.570 -19.727   2.726
   271 10500  3.50  0.00  2.00  0.00 -19.510 -19.711   2.786
   272 10500  4.00  0.00  2.00  0.00 -19.442 -19.689   2.846
   273 10500  4.50  0.00  2.00  0.00 -19.373 -19.662   2.902
   274 10500  5.00  0.00  2.00  0.00 -19.308 -19.631   2.947
   275 10750  2.00  0.00  2.00  0.00 -19.705 -19.776   2.615
   276 10750  2.50  0.00  2.00  0.00 -19.681 -19.790   2.665
   277 10750  3.00  0.00  2.00  0.00 -19.636 -19.784   2.718
   278 10750  3.50  0.00  2.00  0.00 -19.578 -19.769   2.774
   279 10750  4.00  0.00  2.00  0.00 -19.511 -19.748   2.834
   280 10750  4.50  0.00  2.00  0.00 -19.441 -19.721   2.890
   281 10750  5.00  0.00  2.00  0.00 -19.374 -19.690   2.938
   282 11000  2.00  0.00  2.00  0.00 -19.763 -19.829   2.611
   283 11000  2.50  0.00  2.00  0.00 -19.741 -19.844   2.659
   284 11000  3.00  0.00  2.00  0.00 -19.698 -19.839   2.709
   285 11000  3.50  0.00  2.00  0.00 -19.642 -19.825   2.764
   286 11000  4.00  0.00  2.00  0.00 -19.577 -19.804   2.821
   287 11000  4.50  0.00  2.00  0.00 -19.507 -19.777   2.878
   288 11000  5.00  0.00  2.00  0.00 -19.438 -19.747   2.927
   289 11250  2.00  0.00  2.00  0.00 -19.817 -19.879   2.606
   290 11250  2.50  0.00  2.00  0.00 -19.798 -19.895   2.652
   291 11250  3.00  0.00  2.00  0.00 -19.757 -19.892   2.700
   292 11250  3.50  0.00  2.00  0.00 -19.703 -19.878   2.753
   293 11250  4.00  0.00  2.00  0.00 -19.640 -19.857   2.808
   294 11250  4.50  0.00  2.00  0.00 -19.571 -19.831   2.865
   295 11250  5.00  0.00  2.00  0.00 -19.501 -19.801   2.917
   296 11500  2.00  0.00  2.00  0.00 -19.869 -19.927   2.600
   297 11500  2.50  0.00  2.00  0.00 -19.853 -19.945   2.645
   298 11500  3.00  0.00  2.00  0.00 -19.814 -19.942   2.692
   299 11500  3.50  0.00  2.00  0.00 -19.762 -19.928   2.743
