        Teff log g  [M]  Vturb  l/H   small     big    beta
   288 11000  5.00  0.50  2.00  0.00 -19.491 -19.800   2.928
   289 11250  2.00  0.50  2.00  0.00 -19.875 -19.935   2.604
   290 11250  2.50  0.50  2.00  0.00 -19.857 -19.954   2.651
   291 11250  3.00  0.50  2.00  0.00 -19.816 -19.950   2.700
   292 11250  3.50  0.50  2.00  0.00 -19.762 -19.936   2.752
   293 11250  4.00  0.50  2.00  0.00 -19.697 -19.914   2.808
   294 11250  4.50  0.50  2.00  0.00 -19.626 -19.887   2.865
   295 11250  5.00  0.50  2.00  0.00 -19.555 -19.855   2.917
   296 11500  2.00  0.50  2.00  0.00 -19.928 -19.984   2.599
   297 11500  2.50  0.50  2.00  0.00 -19.912 -20.004   2.644
   298 11500  3.00  0.50  2.00  0.00 -19.874 -20.001   2.691
   299 11500  3.50  0.50  2.00  0.00 -19.821 -19.988   2.742
   300 11500  4.00  0.50  2.00  0.00 -19.758 -19.966   2.797
   301 11500  4.50  0.50  2.00  0.00 -19.688 -19.939   2.853
   302 11500  5.00  0.50  2.00  0.00 -19.616 -19.908   2.905
   303 11750  2.00  0.50  2.00  0.00 -19.978 -20.031   2.594
   304 11750  2.50  0.50  2.00  0.00 -19.965 -20.052   2.638
   305 11750  3.00  0.50  2.00  0.00 -19.928 -20.050   2.684
   306 11750  3.50  0.50  2.00  0.00 -19.878 -20.037   2.733
   307 11750  4.00  0.50  2.00  0.00 -19.816 -20.017   2.786
   308 11750  4.50  0.50  2.00  0.00 -19.748 -19.990   2.842
   309 11750  5.00  0.50  2.00  0.00 -19.676 -19.959   2.894
   310 12000  2.50  0.50  2.00  0.00 -20.016 -20.098   2.632
   311 12000  3.00  0.50  2.00  0.00 -19.981 -20.097   2.677
   312 12000  3.50  0.50  2.00  0.00 -19.932 -20.085   2.725
   313 12000  4.00  0.50  2.00  0.00 -19.872 -20.065   2.777
   314 12000  4.50  0.50  2.00  0.00 -19.805 -20.039   2.831
   315 12000  5.00  0.50  2.00  0.00 -19.733 -20.008   2.883
   316 12250  2.50  0.50  2.00  0.00 -20.064 -20.143   2.627
   317 12250  3.00  0.50  2.00  0.00 -20.031 -20.143   2.671
   318 12250  3.50  0.50  2.00  0.00 -19.984 -20.131   2.717
   319 12250  4.00  0.50  2.00  0.00 -19.926 -20.112   2.768
   320 12250  4.50  0.50  2.00  0.00 -19.860 -20.087   2.820
   321 12250  5.00  0.50  2.00  0.00 -19.789 -20.056   2.873
   322 12500  2.50  0.50  2.00  0.00 -20.111 -20.186   2.622
   323 12500  3.00  0.50  2.00  0.00 -20.079 -20.186   2.665
   324 12500  3.50  0.50  2.00  0.00 -20.033 -20.175   2.710
   325 12500  4.00  0.50  2.00  0.00 -19.978 -20.157   2.759
   326 12500  4.50  0.50  2.00  0.00 -19.914 -20.132   2.811
   327 12500  5.00  0.50  2.00  0.00 -19.844 -20.102   2.862
   328 12750  2.50  0.50  2.00  0.00 -20.156 -20.228   2.618
