
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta     a0      r*
  124  6250  1.50 -0.50  2.00  1.25  0.00   1.960   1.959   0.280   0.158   1.081   1.080   2.660   0.387   0.263
  125  6250  2.00 -0.50  2.00  1.25  0.00   1.818   1.817   0.290   0.152   0.934   0.933   2.655   0.372   0.216
  126  6250  2.50 -0.50  2.00  1.25  0.00   1.683   1.681   0.299   0.147   0.789   0.788   2.649   0.357   0.171
  127  6250  3.00 -0.50  2.00  1.25  0.00   1.558   1.557   0.307   0.145   0.652   0.651   2.642   0.342   0.129
  128  6250  3.50 -0.50  2.00  1.25  0.00   1.448   1.447   0.315   0.146   0.526   0.525   2.635   0.331   0.092
  129  6250  4.00 -0.50  2.00  1.25  0.00   1.357   1.356   0.321   0.150   0.414   0.413   2.628   0.320   0.059
  130  6250  4.50 -0.50  2.00  1.25  0.00   1.290   1.289   0.326   0.158   0.320   0.319   2.621   0.313   0.033
  131  6250  5.00 -0.50  2.00  1.25  0.00   1.250   1.249   0.330   0.171   0.247   0.246   2.615   0.310   0.013
  132  6500  0.50 -0.50  2.00  1.25  0.00   2.259   2.258   0.197   0.145   1.573   1.572   2.686   0.358   0.415
  133  6500  1.00 -0.50  2.00  1.25  0.00   2.135   2.134   0.217   0.148   1.403   1.402   2.688   0.356   0.353
  134  6500  1.50 -0.50  2.00  1.25  0.00   1.996   1.995   0.233   0.149   1.229   1.229   2.687   0.347   0.292
  135  6500  2.00 -0.50  2.00  1.25  0.00   1.853   1.852   0.246   0.145   1.068   1.068   2.684   0.334   0.238
  136  6500  2.50 -0.50  2.00  1.25  0.00   1.711   1.710   0.258   0.141   0.911   0.910   2.679   0.321   0.186
  137  6500  3.00 -0.50  2.00  1.25  0.00   1.575   1.574   0.269   0.138   0.758   0.757   2.672   0.307   0.139
  138  6500  3.50 -0.50  2.00  1.25  0.00   1.449   1.448   0.279   0.137   0.614   0.613   2.664   0.294   0.096
  139  6500  4.00 -0.50  2.00  1.25  0.00   1.338   1.337   0.288   0.139   0.483   0.482   2.656   0.284   0.058
  140  6500  4.50 -0.50  2.00  1.25  0.00   1.247   1.247   0.295   0.143   0.369   0.368   2.648   0.274   0.025
  141  6500  5.00 -0.50  2.00  1.25  0.00   1.182   1.181   0.301   0.151   0.275   0.274   2.641   0.268  -0.001
  142  6750  0.50 -0.50  2.00  1.25  0.00   2.263   2.263   0.153   0.130   1.695   1.694   2.699   0.315   0.448
  143  6750  1.00 -0.50  2.00  1.25  0.00   2.169   2.169   0.163   0.133   1.575   1.574   2.713   0.308   0.391
  144  6750  1.50 -0.50  2.00  1.25  0.00   2.038   2.037   0.186   0.138   1.388   1.388   2.715   0.308   0.323
  145  6750  2.00 -0.50  2.00  1.25  0.00   1.896   1.896   0.205   0.141   1.203   1.202   2.714   0.301   0.257
  146  6750  2.50 -0.50  2.00  1.25  0.00   1.753   1.752   0.220   0.140   1.032   1.031   2.711   0.290   0.199
  147  6750  3.00 -0.50  2.00  1.25  0.00   1.610   1.609   0.233   0.138   0.866   0.865   2.705   0.277   0.146
  148  6750  3.50 -0.50  2.00  1.25  0.00   1.473   1.472   0.246   0.136   0.708   0.707   2.697   0.266   0.098
  149  6750  4.00 -0.50  2.00  1.25  0.00   1.346   1.345   0.256   0.135   0.561   0.560   2.688   0.253   0.055
  150  6750  4.50 -0.50  2.00  1.25  0.00   1.235   1.234   0.266   0.137   0.428   0.427   2.679   0.243   0.017
  151  6750  5.00 -0.50  2.00  1.25  0.00   1.144   1.144   0.274   0.140   0.314   0.314   2.671   0.235  -0.015
  152  7000  0.50 -0.50  2.00  1.25  0.00   2.241   2.241   0.120   0.117   1.764   1.764   2.701   0.278   0.473
  153  7000  1.00 -0.50  2.00  1.25  0.00   2.180   2.180   0.124   0.123   1.684   1.684   2.727   0.271   0.419
  154  7000  1.50 -0.50  2.00  1.25  0.00   2.077   2.076   0.137   0.129   1.542   1.542   2.742   0.266   0.353
  155  7000  2.00 -0.50  2.00  1.25  0.00   1.941   1.941   0.161   0.137   1.343   1.343   2.744   0.265   0.280
  156  7000  2.50 -0.50  2.00  1.25  0.00   1.798   1.797   0.182   0.141   1.150   1.150   2.743   0.260   0.212
  157  7000  3.00 -0.50  2.00  1.25  0.00   1.653   1.653   0.198   0.141   0.973   0.973   2.739   0.250   0.153
  158  7000  3.50 -0.50  2.00  1.25  0.00   1.511   1.510   0.213   0.140   0.802   0.802   2.732   0.240   0.099
  159  7000  4.00 -0.50  2.00  1.25  0.00   1.374   1.373   0.226   0.139   0.642   0.641   2.723   0.228   0.051
  160  7000  4.50 -0.50  2.00  1.25  0.00   1.247   1.247   0.237   0.139   0.494   0.493   2.713   0.216   0.008
  161  7000  5.00 -0.50  2.00  1.25  0.00   1.138   1.137   0.247   0.139   0.363   0.362   2.704   0.206  -0.030
  162  7250  0.50 -0.50  2.00  1.25  0.00   2.177   2.177   0.102   0.106   1.758   1.758   2.688   0.249   0.485
  163  7250  1.00 -0.50  2.00  1.25  0.00   2.163   2.163   0.095   0.113   1.745   1.745   2.730   0.239   0.439
  164  7250  1.50 -0.50  2.00  1.25  0.00   2.087   2.087   0.102   0.122   1.635   1.635   2.757   0.232   0.373
  165  7250  2.00 -0.50  2.00  1.25  0.00   1.978   1.977   0.117   0.132   1.478   1.478   2.773   0.228   0.301
  166  7250  2.50 -0.50  2.00  1.25  0.00   1.841   1.841   0.143   0.141   1.273   1.272   2.775   0.229   0.225
  167  7250  3.00 -0.50  2.00  1.25  0.00   1.698   1.697   0.164   0.145   1.077   1.076   2.773   0.224   0.157
  168  7250  3.50 -0.50  2.00  1.25  0.00   1.554   1.553   0.181   0.147   0.896   0.896   2.768   0.216   0.098
  169  7250  4.00 -0.50  2.00  1.25  0.00   1.411   1.411   0.196   0.146   0.724   0.724   2.760   0.205   0.045
  170  7250  4.50 -0.50  2.00  1.25  0.00   1.275   1.274   0.210   0.145   0.563   0.562   2.750   0.194  -0.003
  171  7250  5.00 -0.50  2.00  1.25  0.00   1.150   1.150   0.222   0.144   0.417   0.416   2.739   0.184  -0.044
  172  7500  0.50 -0.50  2.00  1.25  0.00   2.031   2.031   0.111   0.095   1.617   1.617   2.654   0.231   0.469
  173  7500  1.00 -0.50  2.00  1.25  0.00   2.109   2.109   0.076   0.102   1.751   1.751   2.721   0.210   0.452
  174  7500  1.50 -0.50  2.00  1.25  0.00   2.069   2.069   0.077   0.113   1.685   1.685   2.761   0.204   0.388
  175  7500  2.00 -0.50  2.00  1.25  0.00   1.985   1.985   0.086   0.127   1.557   1.557   2.788   0.198   0.316
  176  7500  2.50 -0.50  2.00  1.25  0.00   1.873   1.873   0.102   0.139   1.389   1.388   2.803   0.194   0.241
  177  7500  3.00 -0.50  2.00  1.25  0.00   1.738   1.737   0.129   0.149   1.180   1.180   2.806   0.197   0.163
  178  7500  3.50 -0.50  2.00  1.25  0.00   1.595   1.595   0.150   0.154   0.985   0.985   2.804   0.192   0.095
  179  7500  4.00 -0.50  2.00  1.25  0.00   1.451   1.451   0.168   0.155   0.804   0.804   2.797   0.184   0.038
  180  7500  4.50 -0.50  2.00  1.25  0.00   1.309   1.309   0.183   0.154   0.633   0.632   2.787   0.173  -0.014
  181  7500  5.00 -0.50  2.00  1.25  0.00   1.175   1.174   0.197   0.153   0.473   0.473   2.775   0.163  -0.058
  182  7750  1.00 -0.50  2.00  1.25  0.00   2.011   2.011   0.069   0.092   1.687   1.687   2.697   0.186   0.454
  183  7750  1.50 -0.50  2.00  1.25  0.00   2.020   2.020   0.059   0.104   1.693   1.693   2.753   0.178   0.400
  184  7750  2.00 -0.50  2.00  1.25  0.00   1.965   1.965   0.063   0.120   1.597   1.597   2.793   0.172   0.327
