
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
  109  5750  4.50 -0.50  2.00  0.00  0.00 -16.496 -16.475 -16.978 -17.154 -17.048   1.461   1.459   0.394   0.212   0.248   0.247
  110  5750  5.00 -0.50  2.00  0.00  0.00 -16.497 -16.476 -16.962 -17.157 -17.050   1.462   1.461   0.393   0.231   0.211   0.210
  111  6000  0.00 -0.50  2.00  0.00  0.00 -15.980 -15.960 -17.485 -17.560 -17.368   2.382   2.381   0.308   0.197   1.371   1.370
  112  6000  0.50 -0.50  2.00  0.00  0.00 -16.096 -16.076 -17.459 -17.537 -17.354   2.243   2.241   0.317   0.191   1.227   1.225
  113  6000  1.00 -0.50  2.00  0.00  0.00 -16.225 -16.204 -17.443 -17.515 -17.338   2.093   2.091   0.323   0.179   1.088   1.086
  114  6000  1.50 -0.50  2.00  0.00  0.00 -16.353 -16.332 -17.426 -17.493 -17.322   1.942   1.941   0.329   0.168   0.947   0.946
  115  6000  2.00 -0.50  2.00  0.00  0.00 -16.473 -16.453 -17.405 -17.470 -17.306   1.799   1.798   0.335   0.159   0.809   0.807
  116  6000  2.50 -0.50  2.00  0.00  0.00 -16.582 -16.561 -17.382 -17.449 -17.290   1.669   1.668   0.341   0.154   0.676   0.675
  117  6000  3.00 -0.50  2.00  0.00  0.00 -16.675 -16.654 -17.358 -17.429 -17.276   1.556   1.555   0.347   0.153   0.554   0.552
  118  6000  3.50 -0.50  2.00  0.00  0.00 -16.752 -16.732 -17.334 -17.412 -17.265   1.462   1.461   0.352   0.156   0.444   0.443
  119  6000  4.00 -0.50  2.00  0.00  0.00 -16.812 -16.791 -17.310 -17.401 -17.257   1.391   1.390   0.356   0.163   0.350   0.349
  120  6000  4.50 -0.50  2.00  0.00  0.00 -16.852 -16.831 -17.289 -17.394 -17.254   1.345   1.343   0.359   0.175   0.274   0.273
  121  6000  5.00 -0.50  2.00  0.00  0.00 -16.870 -16.849 -17.271 -17.393 -17.255   1.325   1.324   0.361   0.191   0.219   0.218
  122  6250  0.50 -0.50  2.00  0.00  0.00 -16.351 -16.330 -17.816 -17.807 -17.563   2.258   2.257   0.256   0.164   1.416   1.415
  123  6250  1.00 -0.50  2.00  0.00  0.00 -16.468 -16.447 -17.779 -17.780 -17.550   2.115   2.114   0.270   0.160   1.252   1.251
  124  6250  1.50 -0.50  2.00  0.00  0.00 -16.590 -16.569 -17.750 -17.754 -17.534   1.966   1.964   0.280   0.152   1.099   1.097
  125  6250  2.00 -0.50  2.00  0.00  0.00 -16.710 -16.689 -17.720 -17.726 -17.516   1.818   1.817   0.290   0.145   0.946   0.945
  126  6250  2.50 -0.50  2.00  0.00  0.00 -16.823 -16.803 -17.689 -17.699 -17.498   1.677   1.676   0.299   0.140   0.798   0.797
  127  6250  3.00 -0.50  2.00  0.00  0.00 -16.926 -16.905 -17.657 -17.672 -17.480   1.548   1.547   0.308   0.137   0.657   0.656
  128  6250  3.50 -0.50  2.00  0.00  0.00 -17.016 -16.995 -17.625 -17.649 -17.464   1.435   1.434   0.315   0.137   0.527   0.526
  129  6250  4.00 -0.50  2.00  0.00  0.00 -17.092 -17.071 -17.596 -17.630 -17.452   1.340   1.339   0.322   0.141   0.412   0.411
  130  6250  4.50 -0.50  2.00  0.00  0.00 -17.150 -17.129 -17.570 -17.617 -17.444   1.269   1.268   0.327   0.149   0.316   0.315
  131  6250  5.00 -0.50  2.00  0.00  0.00 -17.187 -17.166 -17.548 -17.611 -17.442   1.226   1.225   0.331   0.161   0.240   0.239
  132  6500  0.50 -0.50  2.00  0.00  0.00 -16.577 -16.556 -18.149 -18.057 -17.754   2.282   2.281   0.197   0.140   1.605   1.605
  133  6500  1.00 -0.50  2.00  0.00  0.00 -16.680 -16.659 -18.098 -18.028 -17.745   2.150   2.149   0.217   0.143   1.429   1.428
  134  6500  1.50 -0.50  2.00  0.00  0.00 -16.796 -16.775 -18.051 -17.998 -17.731   2.004   2.003   0.233   0.143   1.250   1.249
  135  6500  2.00 -0.50  2.00  0.00  0.00 -16.913 -16.892 -18.011 -17.967 -17.714   1.856   1.855   0.247   0.138   1.084   1.083
  136  6500  2.50 -0.50  2.00  0.00  0.00 -17.028 -17.007 -17.972 -17.935 -17.694   1.709   1.708   0.259   0.134   0.923   0.922
  137  6500  3.00 -0.50  2.00  0.00  0.00 -17.136 -17.115 -17.932 -17.904 -17.674   1.569   1.569   0.270   0.131   0.767   0.766
  138  6500  3.50 -0.50  2.00  0.00  0.00 -17.236 -17.215 -17.893 -17.874 -17.654   1.440   1.439   0.280   0.129   0.619   0.618
  139  6500  4.00 -0.50  2.00  0.00  0.00 -17.324 -17.303 -17.858 -17.848 -17.637   1.326   1.325   0.289   0.130   0.486   0.485
  140  6500  4.50 -0.50  2.00  0.00  0.00 -17.398 -17.377 -17.826 -17.827 -17.624   1.232   1.231   0.296   0.134   0.369   0.368
  141  6500  5.00 -0.50  2.00  0.00  0.00 -17.454 -17.433 -17.800 -17.815 -17.617   1.163   1.162   0.302   0.142   0.273   0.273
  142  6750  0.50 -0.50  2.00  0.00  0.00 -16.794 -16.772 -18.431 -18.281 -17.933   2.289   2.289   0.153   0.126   1.730   1.729
  143  6750  1.00 -0.50  2.00  0.00  0.00 -16.875 -16.854 -18.397 -18.259 -17.923   2.186   2.186   0.163   0.128   1.602   1.602
  144  6750  1.50 -0.50  2.00  0.00  0.00 -16.981 -16.960 -18.339 -18.228 -17.914   2.048   2.048   0.186   0.132   1.410   1.409
  145  6750  2.00 -0.50  2.00  0.00  0.00 -17.094 -17.073 -18.283 -18.194 -17.899   1.902   1.901   0.205   0.135   1.220   1.219
  146  6750  2.50 -0.50  2.00  0.00  0.00 -17.208 -17.186 -18.235 -18.159 -17.880   1.754   1.753   0.220   0.133   1.045   1.045
  147  6750  3.00 -0.50  2.00  0.00  0.00 -17.318 -17.297 -18.189 -18.124 -17.858   1.608   1.607   0.234   0.131   0.877   0.876
  148  6750  3.50 -0.50  2.00  0.00  0.00 -17.423 -17.402 -18.143 -18.089 -17.835   1.468   1.467   0.246   0.128   0.716   0.715
  149  6750  4.00 -0.50  2.00  0.00  0.00 -17.520 -17.498 -18.100 -18.056 -17.814   1.339   1.338   0.257   0.128   0.567   0.566
  150  6750  4.50 -0.50  2.00  0.00  0.00 -17.606 -17.584 -18.062 -18.029 -17.796   1.225   1.224   0.267   0.129   0.432   0.431
  151  6750  5.00 -0.50  2.00  0.00  0.00 -17.678 -17.656 -18.030 -18.008 -17.783   1.133   1.132   0.275   0.132   0.317   0.316
  152  7000  0.50 -0.50  2.00  0.00  0.00 -17.011 -16.989 -18.675 -18.480 -18.101   2.271   2.271   0.121   0.113   1.801   1.801
  153  7000  1.00 -0.50  2.00  0.00  0.00 -17.068 -17.046 -18.653 -18.466 -18.091   2.200   2.200   0.125   0.118   1.714   1.713
  154  7000  1.50 -0.50  2.00  0.00  0.00 -17.156 -17.134 -18.611 -18.443 -18.080   2.089   2.089   0.137   0.124   1.566   1.565
  155  7000  2.00 -0.50  2.00  0.00  0.00 -17.262 -17.241 -18.545 -18.409 -18.071   1.949   1.948   0.162   0.131   1.361   1.360
  156  7000  2.50 -0.50  2.00  0.00  0.00 -17.373 -17.351 -18.483 -18.372 -18.054   1.801   1.800   0.183   0.134   1.165   1.164
  157  7000  3.00 -0.50  2.00  0.00  0.00 -17.482 -17.461 -18.429 -18.333 -18.032   1.653   1.653   0.199   0.134   0.985   0.984
  158  7000  3.50 -0.50  2.00  0.00  0.00 -17.589 -17.568 -18.377 -18.295 -18.008   1.508   1.507   0.213   0.133   0.813   0.812
  159  7000  4.00 -0.50  2.00  0.00  0.00 -17.690 -17.669 -18.328 -18.257 -17.984   1.369   1.368   0.226   0.132   0.650   0.649
  160  7000  4.50 -0.50  2.00  0.00  0.00 -17.785 -17.763 -18.283 -18.223 -17.961   1.240   1.240   0.238   0.131   0.500   0.499
  161  7000  5.00 -0.50  2.00  0.00  0.00 -17.868 -17.846 -18.244 -18.195 -17.943   1.129   1.128   0.248   0.132   0.368   0.367
  162  7250  0.50 -0.50  2.00  0.00  0.00 -17.245 -17.223 -18.875 -18.652 -18.256   2.210   2.209   0.103   0.103   1.794   1.794
  163  7250  1.00 -0.50  2.00  0.00  0.00 -17.266 -17.245 -18.875 -18.651 -18.247   2.186   2.186   0.096   0.108   1.775   1.775
