        Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   127  6250  3.00  0.00  0.00  1.25  0.00 -16.907 -16.886 -17.645 -17.690 -17.502   1.584   1.583   0.312   0.161   0.635   0.634
   128  6250  3.50  0.00  0.00  1.25  0.00 -16.991 -16.970 -17.616 -17.670 -17.489   1.482   1.480   0.319   0.164   0.513   0.512
   129  6250  4.00  0.00  0.00  1.25  0.00 -17.059 -17.038 -17.589 -17.655 -17.480   1.398   1.397   0.324   0.171   0.406   0.405
   130  6250  4.50  0.00  0.00  1.25  0.00 -17.108 -17.087 -17.564 -17.646 -17.474   1.340   1.339   0.328   0.183   0.316   0.315
   131  6250  5.00  0.00  0.00  1.25  0.00 -17.138 -17.116 -17.542 -17.642 -17.472   1.307   1.306   0.330   0.200   0.245   0.245
   132  6500  0.50  0.00  0.00  1.25  0.00 -16.576 -16.556 -18.128 -18.064 -17.767   2.289   2.288   0.203   0.161   1.559   1.558
   133  6500  1.00  0.00  0.00  1.25  0.00 -16.678 -16.657 -18.081 -18.036 -17.758   2.160   2.159   0.222   0.162   1.391   1.390
   134  6500  1.50  0.00  0.00  1.25  0.00 -16.792 -16.772 -18.035 -18.007 -17.746   2.016   2.015   0.239   0.162   1.212   1.211
   135  6500  2.00  0.00  0.00  1.25  0.00 -16.909 -16.888 -17.998 -17.978 -17.730   1.871   1.869   0.252   0.157   1.050   1.049
   136  6500  2.50  0.00  0.00  1.25  0.00 -17.023 -17.002 -17.962 -17.949 -17.713   1.728   1.727   0.264   0.152   0.894   0.893
   137  6500  3.00  0.00  0.00  1.25  0.00 -17.129 -17.108 -17.926 -17.921 -17.695   1.594   1.593   0.274   0.150   0.744   0.743
   138  6500  3.50  0.00  0.00  1.25  0.00 -17.224 -17.203 -17.891 -17.895 -17.679   1.473   1.472   0.283   0.150   0.604   0.603
   139  6500  4.00  0.00  0.00  1.25  0.00 -17.306 -17.285 -17.858 -17.874 -17.665   1.370   1.369   0.291   0.154   0.477   0.476
   140  6500  4.50  0.00  0.00  1.25  0.00 -17.372 -17.351 -17.828 -17.858 -17.656   1.288   1.288   0.297   0.163   0.367   0.366
   141  6500  5.00  0.00  0.00  1.25  0.00 -17.419 -17.398 -17.802 -17.849 -17.651   1.232   1.232   0.301   0.175   0.277   0.276
   142  6750  0.50  0.00  0.00  1.25  0.00 -16.798 -16.777 -18.412 -18.288 -17.946   2.292   2.291   0.158   0.147   1.681   1.680
   143  6750  1.00  0.00  0.00  1.25  0.00 -16.877 -16.856 -18.382 -18.268 -17.935   2.193   2.192   0.168   0.147   1.562   1.561
   144  6750  1.50  0.00  0.00  1.25  0.00 -16.982 -16.961 -18.328 -18.237 -17.927   2.058   2.057   0.190   0.149   1.378   1.378
   145  6750  2.00  0.00  0.00  1.25  0.00 -17.095 -17.074 -18.274 -18.205 -17.915   1.912   1.911   0.210   0.151   1.189   1.188
   146  6750  2.50  0.00  0.00  1.25  0.00 -17.208 -17.187 -18.229 -18.173 -17.897   1.767   1.766   0.225   0.148   1.019   1.019
   147  6750  3.00  0.00  0.00  1.25  0.00 -17.318 -17.296 -18.186 -18.141 -17.878   1.625   1.624   0.237   0.146   0.856   0.855
   148  6750  3.50  0.00  0.00  1.25  0.00 -17.421 -17.400 -18.145 -18.110 -17.859   1.491   1.490   0.249   0.145   0.701   0.700
   149  6750  4.00  0.00  0.00  1.25  0.00 -17.514 -17.493 -18.105 -18.082 -17.841   1.370   1.369   0.260   0.146   0.557   0.556
   150  6750  4.50  0.00  0.00  1.25  0.00 -17.594 -17.573 -18.070 -18.060 -17.827   1.267   1.266   0.268   0.151   0.428   0.427
   151  6750  5.00  0.00  0.00  1.25  0.00 -17.658 -17.637 -18.039 -18.044 -17.818   1.188   1.187   0.274   0.159   0.319   0.318
   152  7000  0.50  0.00  0.00  1.25  0.00 -17.020 -16.999 -18.659 -18.488 -18.112   2.270   2.269   0.124   0.133   1.753   1.752
   153  7000  1.00  0.00  0.00  1.25  0.00 -17.074 -17.052 -18.640 -18.475 -18.103   2.203   2.202   0.128   0.136   1.673   1.672
   154  7000  1.50  0.00  0.00  1.25  0.00 -17.160 -17.138 -18.602 -18.453 -18.093   2.096   2.095   0.140   0.140   1.533   1.533
   155  7000  2.00  0.00  0.00  1.25  0.00 -17.265 -17.244 -18.540 -18.420 -18.085   1.957   1.957   0.164   0.145   1.336   1.336
   156  7000  2.50  0.00  0.00  1.25  0.00 -17.376 -17.354 -18.480 -18.385 -18.071   1.811   1.810   0.186   0.148   1.141   1.141
   157  7000  3.00  0.00  0.00  1.25  0.00 -17.485 -17.464 -18.429 -18.349 -18.051   1.666   1.665   0.202   0.147   0.966   0.965
   158  7000  3.50  0.00  0.00  1.25  0.00 -17.592 -17.570 -18.381 -18.314 -18.030   1.524   1.524   0.216   0.146   0.799   0.798
   159  7000  4.00  0.00  0.00  1.25  0.00 -17.692 -17.670 -18.335 -18.281 -18.009   1.391   1.391   0.228   0.146   0.640   0.640
   160  7000  4.50  0.00  0.00  1.25  0.00 -17.783 -17.762 -18.294 -18.252 -17.991   1.271   1.270   0.239   0.148   0.495   0.495
   161  7000  5.00  0.00  0.00  1.25  0.00 -17.861 -17.840 -18.258 -18.229 -17.977   1.170   1.169   0.248   0.152   0.368   0.367
   162  7250  0.50  0.00  0.00  1.25  0.00 -17.255 -17.233 -18.863 -18.661 -18.267   2.208   2.208   0.106   0.122   1.751   1.751
   163  7250  1.00  0.00  0.00  1.25  0.00 -17.274 -17.252 -18.866 -18.660 -18.258   2.188   2.188   0.098   0.125   1.740   1.739
   164  7250  1.50  0.00  0.00  1.25  0.00 -17.339 -17.318 -18.837 -18.645 -18.250   2.108   2.107   0.105   0.133   1.630   1.630
   165  7250  2.00  0.00  0.00  1.25  0.00 -17.428 -17.407 -18.792 -18.622 -18.240   1.995   1.995   0.119   0.140   1.475   1.475
   166  7250  2.50  0.00  0.00  1.25  0.00 -17.533 -17.511 -18.723 -18.586 -18.230   1.855   1.854   0.145   0.147   1.270   1.269
   167  7250  3.00  0.00  0.00  1.25  0.00 -17.640 -17.618 -18.658 -18.547 -18.214   1.709   1.708   0.167   0.150   1.072   1.071
   168  7250  3.50  0.00  0.00  1.25  0.00 -17.746 -17.724 -18.603 -18.509 -18.193   1.565   1.564   0.184   0.150   0.894   0.893
   169  7250  4.00  0.00  0.00  1.25  0.00 -17.849 -17.827 -18.551 -18.471 -18.170   1.424   1.424   0.199   0.150   0.725   0.724
   170  7250  4.50  0.00  0.00  1.25  0.00 -17.946 -17.925 -18.503 -18.436 -18.148   1.292   1.292   0.211   0.151   0.566   0.565
   171  7250  5.00  0.00  0.00  1.25  0.00 -18.035 -18.013 -18.461 -18.407 -18.129   1.174   1.174   0.222   0.153   0.422   0.422
   172  7500  0.50  0.00  0.00  1.25  0.00 -17.534 -17.512 -18.995 -18.790 -18.407   2.057   2.057   0.117   0.106   1.608   1.608
   173  7500  1.00  0.00  0.00  1.25  0.00 -17.486 -17.464 -19.059 -18.822 -18.399   2.138   2.138   0.077   0.114   1.753   1.753
   174  7500  1.50  0.00  0.00  1.25  0.00 -17.525 -17.503 -19.044 -18.816 -18.394   2.093   2.093   0.078   0.124   1.688   1.688
   175  7500  2.00  0.00  0.00  1.25  0.00 -17.596 -17.575 -19.007 -18.800 -18.387   2.006   2.005   0.087   0.135   1.559   1.559
   176  7500  2.50  0.00  0.00  1.25  0.00 -17.685 -17.664 -18.954 -18.774 -18.377   1.891   1.890   0.103   0.146   1.391   1.391
   177  7500  3.00  0.00  0.00  1.25  0.00 -17.787 -17.765 -18.880 -18.735 -18.365   1.750   1.750   0.130   0.154   1.180   1.180
   178  7500  3.50  0.00  0.00  1.25  0.00 -17.890 -17.869 -18.813 -18.694 -18.346   1.605   1.605   0.152   0.157   0.984   0.984
   179  7500  4.00  0.00  0.00  1.25  0.00 -17.993 -17.971 -18.755 -18.653 -18.323   1.462   1.462   0.170   0.158   0.805   0.805
   180  7500  4.50  0.00  0.00  1.25  0.00 -18.093 -18.071 -18.701 -18.614 -18.299   1.323   1.322   0.185   0.158   0.636   0.636
   181  7500  5.00  0.00  0.00  1.25  0.00 -18.188 -18.166 -18.652 -18.579 -18.276   1.193   1.193   0.197   0.158   0.479   0.479
   182  7750  1.00  0.00  0.00  1.25  0.00 -17.718 -17.696 -19.214 -18.957 -18.527   2.041   2.041   0.070   0.103   1.694   1.695
