
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
  138  6500  3.50  0.00  0.00  0.00  0.00 -17.214 -17.193 -17.887 -17.903 -17.687   1.491   1.490   0.284   0.162   0.598   0.597
  139  6500  4.00  0.00  0.00  0.00  0.00 -17.292 -17.271 -17.855 -17.883 -17.674   1.393   1.392   0.291   0.166   0.476   0.475
  140  6500  4.50  0.00  0.00  0.00  0.00 -17.354 -17.332 -17.826 -17.868 -17.665   1.317   1.316   0.297   0.175   0.371   0.370
  141  6500  5.00  0.00  0.00  0.00  0.00 -17.396 -17.375 -17.800 -17.859 -17.660   1.265   1.264   0.301   0.188   0.286   0.285
  142  6750  0.50  0.00  0.00  0.00  0.00 -16.819 -16.798 -18.404 -18.284 -17.944   2.266   2.266   0.160   0.149   1.646   1.645
  143  6750  1.00  0.00  0.00  0.00  0.00 -16.892 -16.870 -18.374 -18.266 -17.935   2.176   2.176   0.169   0.152   1.532   1.531
  144  6750  1.50  0.00  0.00  0.00  0.00 -16.991 -16.970 -18.319 -18.238 -17.929   2.048   2.048   0.191   0.156   1.352   1.351
  145  6750  2.00  0.00  0.00  0.00  0.00 -17.100 -17.079 -18.266 -18.207 -17.918   1.909   1.908   0.211   0.159   1.166   1.166
  146  6750  2.50  0.00  0.00  0.00  0.00 -17.209 -17.188 -18.222 -18.176 -17.902   1.769   1.769   0.226   0.158   1.000   0.999
  147  6750  3.00  0.00  0.00  0.00  0.00 -17.315 -17.294 -18.180 -18.146 -17.884   1.632   1.632   0.238   0.157   0.840   0.840
  148  6750  3.50  0.00  0.00  0.00  0.00 -17.415 -17.394 -18.139 -18.116 -17.866   1.503   1.502   0.250   0.156   0.689   0.688
  149  6750  4.00  0.00  0.00  0.00  0.00 -17.505 -17.484 -18.100 -18.089 -17.849   1.386   1.386   0.260   0.158   0.549   0.548
  150  6750  4.50  0.00  0.00  0.00  0.00 -17.581 -17.559 -18.066 -18.068 -17.836   1.289   1.288   0.268   0.163   0.425   0.424
  151  6750  5.00  0.00  0.00  0.00  0.00 -17.640 -17.618 -18.035 -18.052 -17.827   1.215   1.214   0.275   0.172   0.320   0.319
  152  7000  0.50  0.00  0.00  0.00  0.00 -17.045 -17.023 -18.652 -18.484 -18.110   2.242   2.242   0.126   0.136   1.717   1.717
  153  7000  1.00  0.00  0.00  0.00  0.00 -17.092 -17.070 -18.633 -18.473 -18.103   2.184   2.184   0.130   0.140   1.642   1.642
  154  7000  1.50  0.00  0.00  0.00  0.00 -17.172 -17.151 -18.595 -18.454 -18.096   2.084   2.083   0.142   0.146   1.506   1.506
  155  7000  2.00  0.00  0.00  0.00  0.00 -17.274 -17.252 -18.534 -18.423 -18.089   1.952   1.951   0.165   0.153   1.313   1.312
  156  7000  2.50  0.00  0.00  0.00  0.00 -17.381 -17.360 -18.474 -18.389 -18.076   1.810   1.810   0.187   0.157   1.120   1.120
  157  7000  3.00  0.00  0.00  0.00  0.00 -17.488 -17.466 -18.424 -18.355 -18.058   1.669   1.669   0.203   0.157   0.948   0.947
  158  7000  3.50  0.00  0.00  0.00  0.00 -17.591 -17.570 -18.377 -18.321 -18.038   1.532   1.531   0.217   0.156   0.783   0.782
  159  7000  4.00  0.00  0.00  0.00  0.00 -17.689 -17.667 -18.332 -18.289 -18.019   1.403   1.402   0.229   0.157   0.628   0.627
  160  7000  4.50  0.00  0.00  0.00  0.00 -17.776 -17.755 -18.291 -18.261 -18.001   1.287   1.286   0.240   0.159   0.487   0.486
  161  7000  5.00  0.00  0.00  0.00  0.00 -17.850 -17.828 -18.255 -18.239 -17.987   1.191   1.190   0.248   0.164   0.364   0.363
  162  7250  0.50  0.00  0.00  0.00  0.00 -17.284 -17.262 -18.858 -18.658 -18.264   2.176   2.177   0.105   0.124   1.715   1.715
  163  7250  1.00  0.00  0.00  0.00  0.00 -17.294 -17.273 -18.861 -18.659 -18.258   2.167   2.167   0.099   0.129   1.709   1.709
  164  7250  1.50  0.00  0.00  0.00  0.00 -17.355 -17.333 -18.832 -18.647 -18.253   2.094   2.094   0.106   0.138   1.603   1.603
  165  7250  2.00  0.00  0.00  0.00  0.00 -17.440 -17.419 -18.787 -18.625 -18.245   1.987   1.987   0.120   0.147   1.451   1.451
  166  7250  2.50  0.00  0.00  0.00  0.00 -17.541 -17.520 -18.720 -18.591 -18.236   1.852   1.851   0.145   0.155   1.249   1.249
  167  7250  3.00  0.00  0.00  0.00  0.00 -17.646 -17.624 -18.655 -18.554 -18.222   1.710   1.709   0.168   0.160   1.053   1.052
  168  7250  3.50  0.00  0.00  0.00  0.00 -17.750 -17.728 -18.600 -18.517 -18.202   1.569   1.569   0.185   0.161   0.876   0.875
  169  7250  4.00  0.00  0.00  0.00  0.00 -17.850 -17.829 -18.549 -18.480 -18.180   1.432   1.432   0.199   0.161   0.710   0.709
  170  7250  4.50  0.00  0.00  0.00  0.00 -17.945 -17.923 -18.502 -18.446 -18.159   1.303   1.303   0.212   0.161   0.554   0.554
  171  7250  5.00  0.00  0.00  0.00  0.00 -18.030 -18.008 -18.460 -18.418 -18.141   1.190   1.189   0.223   0.164   0.414   0.414
  172  7500  0.50  0.00  0.00  0.00  0.00 -17.563 -17.541 -18.996 -18.790 -18.404   2.029   2.029   0.114   0.109   1.581   1.581
  173  7500  1.00  0.00  0.00  0.00  0.00 -17.512 -17.489 -19.055 -18.821 -18.398   2.111   2.111   0.078   0.117   1.720   1.720
  174  7500  1.50  0.00  0.00  0.00  0.00 -17.545 -17.523 -19.039 -18.817 -18.396   2.074   2.074   0.079   0.128   1.659   1.659
  175  7500  2.00  0.00  0.00  0.00  0.00 -17.612 -17.590 -19.003 -18.803 -18.391   1.993   1.992   0.088   0.141   1.533   1.533
  176  7500  2.50  0.00  0.00  0.00  0.00 -17.698 -17.676 -18.952 -18.779 -18.383   1.883   1.883   0.104   0.153   1.368   1.368
  177  7500  3.00  0.00  0.00  0.00  0.00 -17.796 -17.775 -18.879 -18.742 -18.373   1.748   1.747   0.130   0.162   1.161   1.161
  178  7500  3.50  0.00  0.00  0.00  0.00 -17.897 -17.876 -18.812 -18.702 -18.355   1.607   1.606   0.153   0.166   0.967   0.966
