 ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
 ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
 ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
 ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
 ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
 ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
 ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
 ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
 ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
 ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
 ABUNDANCE CHANGE 99 -20.00
READ DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
 1.58513463E-02   2222.2 1.584E-01 2.690E+06 8.413E-06 4.031E-03 4.000E+05 0.000E+00 0.000E+00
 2.10302928E-02   2246.3 2.102E-01 3.583E+06 8.763E-06 3.647E-03 4.000E+05 0.000E+00 0.000E+00
 2.76414586E-02   2271.5 2.763E-01 4.742E+06 9.179E-06 3.340E-03 4.000E+05 0.000E+00 0.000E+00
 3.60596720E-02   2295.7 3.605E-01 6.216E+06 9.611E-06 3.045E-03 4.000E+05 0.000E+00 0.000E+00
 4.68235484E-02   2316.0 4.681E-01 8.049E+06 9.979E-06 2.728E-03 4.000E+05 0.000E+00 0.000E+00
 6.06083900E-02   2337.5 6.059E-01 1.041E+07 1.042E-05 2.476E-03 4.000E+05 0.000E+00 0.000E+00
 7.81612098E-02   2360.0 7.814E-01 1.345E+07 1.094E-05 2.281E-03 4.000E+05 0.000E+00 0.000E+00
 1.00385041E-01   2383.4 1.004E+00 1.733E+07 1.155E-05 2.130E-03 4.000E+05 0.000E+00 0.000E+00
 1.28472372E-01   2404.3 1.284E+00 2.214E+07 1.218E-05 1.970E-03 4.000E+05 0.000E+00 0.000E+00
 1.64012676E-01   2423.5 1.640E+00 2.813E+07 1.284E-05 1.820E-03 4.000E+05 0.000E+00 0.000E+00
 2.08824973E-01   2443.3 2.088E+00 3.569E+07 1.362E-05 1.705E-03 4.000E+05 0.000E+00 0.000E+00
 2.64993640E-01   2463.8 2.649E+00 4.519E+07 1.453E-05 1.617E-03 4.000E+05 0.000E+00 0.000E+00
 3.35016258E-01   2484.4 3.349E+00 5.703E+07 1.558E-05 1.541E-03 4.000E+05 0.000E+00 0.000E+00
 4.21943746E-01   2504.3 4.219E+00 7.162E+07 1.676E-05 1.465E-03 4.000E+05 0.000E+00 0.000E+00
 5.29388290E-01   2523.5 5.293E+00 8.951E+07 1.813E-05 1.391E-03 4.000E+05 0.000E+00 0.000E+00
 6.61596319E-01   2542.2 6.615E+00 1.114E+08 1.969E-05 1.323E-03 4.000E+05 0.000E+00 0.000E+00
 8.23494858E-01   2561.4 8.234E+00 1.382E+08 2.150E-05 1.269E-03 4.000E+05 0.000E+00 0.000E+00
 1.02072143E+00   2580.9 1.021E+01 1.709E+08 2.358E-05 1.223E-03 4.000E+05 0.000E+00 0.000E+00
