
       Teff log g  [M]  Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
  150  6750  4.50  0.00  4.00  0.00  0.00 -17.595 -18.028 -17.857 -24.929  -0.098   0.034   0.432   0.416
  151  6750  5.00  0.00  4.00  0.00  0.00 -17.620 -18.004 -17.844 -24.929  -0.111  -0.015   0.444   0.428
  152  7000  0.50  0.00  4.00  0.00  0.00 -17.849 -18.510 -18.122 -25.087   0.009   0.254   0.215   0.199
  153  7000  1.00  0.00  4.00  0.00  0.00 -17.801 -18.494 -18.116 -25.087   0.003   0.286   0.226   0.210
  154  7000  1.50  0.00  4.00  0.00  0.00 -17.766 -18.468 -18.110 -25.087  -0.003   0.296   0.245   0.229
  155  7000  2.00  0.00  4.00  0.00  0.00 -17.744 -18.429 -18.104 -25.087  -0.009   0.281   0.278   0.262
  156  7000  2.50  0.00  4.00  0.00  0.00 -17.740 -18.386 -18.094 -25.087  -0.019   0.242   0.312   0.296
  157  7000  3.00  0.00  4.00  0.00  0.00 -17.750 -18.349 -18.079 -25.087  -0.034   0.196   0.334   0.318
  158  7000  3.50  0.00  4.00  0.00  0.00 -17.768 -18.313 -18.061 -25.087  -0.052   0.143   0.351   0.335
  159  7000  4.00  0.00  4.00  0.00  0.00 -17.792 -18.279 -18.042 -25.087  -0.071   0.085   0.367   0.351
  160  7000  4.50  0.00  4.00  0.00  0.00 -17.820 -18.246 -18.024 -25.087  -0.089   0.025   0.381   0.365
  161  7000  5.00  0.00  4.00  0.00  0.00 -17.849 -18.217 -18.007 -25.087  -0.105  -0.034   0.394   0.378
  162  7250  0.50  0.00  4.00  0.00  0.00 -18.121 -18.714 -18.276 -25.239   0.011   0.183   0.166   0.150
  163  7250  1.00  0.00  4.00  0.00  0.00 -18.072 -18.714 -18.271 -25.239   0.005   0.232   0.161   0.145
  164  7250  1.50  0.00  4.00  0.00  0.00 -18.024 -18.692 -18.267 -25.239   0.002   0.259   0.178   0.162
  165  7250  2.00  0.00  4.00  0.00  0.00 -17.991 -18.662 -18.261 -25.239  -0.005   0.264   0.203   0.187
  166  7250  2.50  0.00  4.00  0.00  0.00 -17.970 -18.617 -18.253 -25.239  -0.012   0.241   0.240   0.224
  167  7250  3.00  0.00  4.00  0.00  0.00 -17.966 -18.569 -18.242 -25.239  -0.024   0.198   0.276   0.260
  168  7250  3.50  0.00  4.00  0.00  0.00 -17.976 -18.527 -18.224 -25.239  -0.041   0.148   0.300   0.284
  169  7250  4.00  0.00  4.00  0.00  0.00 -17.995 -18.488 -18.204 -25.239  -0.062   0.090   0.320   0.304
  170  7250  4.50  0.00  4.00  0.00  0.00 -18.020 -18.450 -18.183 -25.239  -0.083   0.027   0.337   0.321
  171  7250  5.00  0.00  4.00  0.00  0.00 -18.051 -18.415 -18.163 -25.239  -0.102  -0.038   0.352   0.336
  172  7500  0.50  0.00  4.00  0.00  0.00 -18.354 -18.858 -18.416 -25.386   0.003   0.092   0.161   0.145
  173  7500  1.00  0.00  4.00  0.00  0.00 -18.325 -18.905 -18.412 -25.386  -0.001   0.168   0.110   0.094
  174  7500  1.50  0.00  4.00  0.00  0.00 -18.270 -18.892 -18.410 -25.386  -0.003   0.211   0.121   0.105
  175  7500  2.00  0.00  4.00  0.00  0.00 -18.222 -18.866 -18.407 -25.386  -0.006   0.233   0.145   0.129
  176  7500  2.50  0.00  4.00  0.00  0.00 -18.188 -18.830 -18.400 -25.386  -0.013   0.233   0.173   0.157
  177  7500  3.00  0.00  4.00  0.00  0.00 -18.170 -18.780 -18.391 -25.386  -0.021   0.203   0.214   0.198
  178  7500  3.50  0.00  4.00  0.00  0.00 -18.169 -18.729 -18.377 -25.386  -0.036   0.155   0.251   0.235
  179  7500  4.00  0.00  4.00  0.00  0.00 -18.181 -18.684 -18.356 -25.386  -0.056   0.098   0.276   0.260
  180  7500  4.50  0.00  4.00  0.00  0.00 -18.202 -18.641 -18.334 -25.386  -0.078   0.035   0.297   0.281
  181  7500  5.00  0.00  4.00  0.00  0.00 -18.231 -18.601 -18.311 -25.386  -0.101  -0.034   0.314   0.298
  182  7750  1.00  0.00  4.00  0.00  0.00 -18.551 -19.064 -18.540 -25.529  -0.015   0.098   0.080   0.064
  183  7750  1.50  0.00  4.00  0.00  0.00 -18.498 -19.069 -18.540 -25.529  -0.015   0.156   0.075   0.059
  184  7750  2.00  0.00  4.00  0.00  0.00 -18.442 -19.048 -18.540 -25.529  -0.015   0.193   0.095   0.079
  185  7750  2.50  0.00  4.00  0.00  0.00 -18.397 -19.016 -18.535 -25.529  -0.020   0.208   0.123   0.107
  186  7750  3.00  0.00  4.00  0.00  0.00 -18.366 -18.976 -18.527 -25.529  -0.028   0.200   0.155   0.139
  187  7750  3.50  0.00  4.00  0.00  0.00 -18.352 -18.922 -18.517 -25.529  -0.038   0.163   0.198   0.182
