
       Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B    B-V(J)  B-V(H) 
  130  6250  4.50 -1.50  4.00  1.25  0.00 -17.336 -17.544 -17.374 -24.595  -0.247  -0.196   0.434   0.418
  131  6250  5.00 -1.50  4.00  1.25  0.00 -17.352 -17.526 -17.370 -24.595  -0.251  -0.229   0.448   0.432
  132  6500  0.50 -1.50  4.00  1.25  0.00 -17.480 -18.089 -17.720 -24.765  -0.072   0.199   0.234   0.218
  133  6500  1.00 -1.50  4.00  1.25  0.00 -17.456 -18.046 -17.709 -24.765  -0.082   0.181   0.267   0.251
  134  6500  1.50 -1.50  4.00  1.25  0.00 -17.451 -18.005 -17.692 -24.765  -0.099   0.146   0.291   0.275
  135  6500  2.00 -1.50  4.00  1.25  0.00 -17.456 -17.964 -17.671 -24.765  -0.120   0.101   0.310   0.294
  136  6500  2.50 -1.50  4.00  1.25  0.00 -17.469 -17.922 -17.647 -24.765  -0.144   0.047   0.328   0.312
  137  6500  3.00 -1.50  4.00  1.25  0.00 -17.486 -17.880 -17.621 -24.765  -0.170  -0.013   0.345   0.329
  138  6500  3.50 -1.50  4.00  1.25  0.00 -17.508 -17.839 -17.596 -24.765  -0.195  -0.076   0.361   0.345
  139  6500  4.00 -1.50  4.00  1.25  0.00 -17.534 -17.802 -17.573 -24.765  -0.218  -0.138   0.375   0.359
  140  6500  4.50 -1.50  4.00  1.25  0.00 -17.561 -17.770 -17.555 -24.765  -0.236  -0.196   0.389   0.373
  141  6500  5.00 -1.50  4.00  1.25  0.00 -17.586 -17.747 -17.545 -24.765  -0.246  -0.244   0.401   0.385
  142  6750  0.50 -1.50  4.00  1.25  0.00 -17.748 -18.340 -17.902 -24.929  -0.053   0.179   0.166   0.150
  143  6750  1.00 -1.50  4.00  1.25  0.00 -17.713 -18.307 -17.891 -24.929  -0.064   0.181   0.187   0.171
  144  6750  1.50 -1.50  4.00  1.25  0.00 -17.688 -18.257 -17.879 -24.929  -0.076   0.159   0.226   0.210
  145  6750  2.00 -1.50  4.00  1.25  0.00 -17.679 -18.209 -17.860 -24.929  -0.095   0.122   0.255   0.239
  146  6750  2.50 -1.50  4.00  1.25  0.00 -17.681 -18.162 -17.837 -24.929  -0.118   0.073   0.278   0.262
  147  6750  3.00 -1.50  4.00  1.25  0.00 -17.691 -18.115 -17.809 -24.929  -0.146   0.016   0.298   0.282
  148  6750  3.50 -1.50  4.00  1.25  0.00 -17.709 -18.068 -17.781 -24.929  -0.174  -0.048   0.317   0.301
  149  6750  4.00 -1.50  4.00  1.25  0.00 -17.732 -18.024 -17.754 -24.929  -0.202  -0.115   0.333   0.317
  150  6750  4.50 -1.50  4.00  1.25  0.00 -17.760 -17.985 -17.730 -24.929  -0.225  -0.182   0.349   0.333
