
       Teff log g  [M]a  Vturb  l/H  E(B-V)    U       B       V     BOL     BC      U-B    B-V(J)  B-V(H) 
  133  6500  1.00  0.00  2.00  1.25  0.00 -17.229 -17.986 -17.765 -24.765  -0.028   0.359   0.382   0.366
  134  6500  1.50  0.00  2.00  1.25  0.00 -17.241 -17.954 -17.754 -24.765  -0.039   0.315   0.404   0.388
  135  6500  2.00  0.00  2.00  1.25  0.00 -17.268 -17.928 -17.739 -24.765  -0.054   0.262   0.415   0.399
  136  6500  2.50  0.00  2.00  1.25  0.00 -17.300 -17.903 -17.723 -24.765  -0.070   0.204   0.423   0.407
  137  6500  3.00  0.00  2.00  1.25  0.00 -17.334 -17.878 -17.707 -24.765  -0.086   0.145   0.432   0.416
  138  6500  3.50  0.00  2.00  1.25  0.00 -17.368 -17.853 -17.691 -24.765  -0.102   0.087   0.441   0.425
  139  6500  4.00  0.00  2.00  1.25  0.00 -17.398 -17.829 -17.676 -24.765  -0.117   0.032   0.451   0.435
  140  6500  4.50  0.00  2.00  1.25  0.00 -17.425 -17.807 -17.664 -24.765  -0.129  -0.016   0.461   0.445
  141  6500  5.00  0.00  2.00  1.25  0.00 -17.445 -17.788 -17.655 -24.765  -0.138  -0.054   0.470   0.454
  142  6750  0.50  0.00  2.00  1.25  0.00 -17.553 -18.281 -17.955 -24.929  -0.002   0.324   0.278   0.262
  143  6750  1.00  0.00  2.00  1.25  0.00 -17.532 -18.259 -17.945 -24.929  -0.012   0.324   0.289   0.273
  144  6750  1.50  0.00  2.00  1.25  0.00 -17.522 -18.225 -17.935 -24.929  -0.022   0.300   0.314   0.298
  145  6750  2.00  0.00  2.00  1.25  0.00 -17.529 -18.187 -17.924 -24.929  -0.033   0.256   0.341   0.325
  146  6750  2.50  0.00  2.00  1.25  0.00 -17.549 -18.155 -17.908 -24.929  -0.049   0.204   0.357   0.341
  147  6750  3.00  0.00  2.00  1.25  0.00 -17.576 -18.123 -17.891 -24.929  -0.066   0.146   0.371   0.355
  148  6750  3.50  0.00  2.00  1.25  0.00 -17.605 -18.092 -17.873 -24.929  -0.084   0.086   0.384   0.368
  149  6750  4.00  0.00  2.00  1.25  0.00 -17.636 -18.062 -17.856 -24.929  -0.101   0.026   0.397   0.381
  150  6750  4.50  0.00  2.00  1.25  0.00 -17.665 -18.035 -17.840 -24.929  -0.117  -0.031   0.409   0.393
  151  6750  5.00  0.00  2.00  1.25  0.00 -17.692 -18.012 -17.828 -24.929  -0.129  -0.080   0.420   0.404
  152  7000  0.50  0.00  2.00  1.25  0.00 -17.844 -18.516 -18.120 -25.087   0.005   0.264   0.208   0.192
  153  7000  1.00  0.00  2.00  1.25  0.00 -17.810 -18.500 -18.112 -25.087  -0.003   0.283   0.216   0.200
  154  7000  1.50  0.00  2.00  1.25  0.00 -17.786 -18.474 -18.103 -25.087  -0.012   0.282   0.232   0.216
  155  7000  2.00  0.00  2.00  1.25  0.00 -17.773 -18.434 -18.094 -25.087  -0.021   0.256   0.264   0.248
  156  7000  2.50  0.00  2.00  1.25  0.00 -17.778 -18.390 -18.081 -25.087  -0.034   0.208   0.295   0.279
  157  7000  3.00  0.00  2.00  1.25  0.00 -17.795 -18.354 -18.065 -25.087  -0.050   0.155   0.314   0.298
  158  7000  3.50  0.00  2.00  1.25  0.00 -17.818 -18.316 -18.045 -25.087  -0.070   0.094   0.332   0.316
  159  7000  4.00  0.00  2.00  1.25  0.00 -17.847 -18.281 -18.025 -25.087  -0.090   0.031   0.348   0.332
  160  7000  4.50  0.00  2.00  1.25  0.00 -17.877 -18.248 -18.007 -25.087  -0.108  -0.032   0.362   0.346
  161  7000  5.00  0.00  2.00  1.25  0.00 -17.908 -18.219 -17.991 -25.087  -0.124  -0.091   0.375   0.359
  162  7250  0.50  0.00  2.00  1.25  0.00 -18.103 -18.715 -18.273 -25.239   0.006   0.202   0.162   0.146
  163  7250  1.00  0.00  2.00  1.25  0.00 -18.068 -18.715 -18.266 -25.239  -0.001   0.238   0.154   0.138
  164  7250  1.50  0.00  2.00  1.25  0.00 -18.031 -18.694 -18.259 -25.239  -0.008   0.254   0.169   0.153
  165  7250  2.00  0.00  2.00  1.25  0.00 -18.007 -18.663 -18.250 -25.239  -0.017   0.248   0.191   0.175
  166  7250  2.50  0.00  2.00  1.25  0.00 -17.994 -18.617 -18.240 -25.239  -0.027   0.216   0.227   0.211
  167  7250  3.00  0.00  2.00  1.25  0.00 -17.998 -18.569 -18.226 -25.239  -0.041   0.166   0.261   0.245
  168  7250  3.50  0.00  2.00  1.25  0.00 -18.013 -18.526 -18.207 -25.239  -0.060   0.108   0.285   0.269
  169  7250  4.00  0.00  2.00  1.25  0.00 -18.036 -18.486 -18.186 -25.239  -0.081   0.045   0.304   0.288
  170  7250  4.50  0.00  2.00  1.25  0.00 -18.066 -18.448 -18.165 -25.239  -0.102  -0.022   0.321   0.305
  171  7250  5.00  0.00  2.00  1.25  0.00 -18.098 -18.414 -18.146 -25.239  -0.121  -0.088   0.336   0.320
  172  7500  0.50  0.00  2.00  1.25  0.00 -18.324 -18.855 -18.411 -25.386  -0.004   0.119   0.159   0.143
  173  7500  1.00  0.00  2.00  1.25  0.00 -18.310 -18.903 -18.406 -25.386  -0.008   0.181   0.106   0.090
  174  7500  1.50  0.00  2.00  1.25  0.00 -18.265 -18.891 -18.403 -25.386  -0.012   0.214   0.115   0.099
  175  7500  2.00  0.00  2.00  1.25  0.00 -18.227 -18.864 -18.397 -25.386  -0.018   0.227   0.136   0.120
  176  7500  2.50  0.00  2.00  1.25  0.00 -18.200 -18.828 -18.387 -25.386  -0.027   0.218   0.163   0.147
  177  7500  3.00  0.00  2.00  1.25  0.00 -18.189 -18.776 -18.376 -25.386  -0.039   0.179   0.204   0.188
  178  7500  3.50  0.00  2.00  1.25  0.00 -18.195 -18.725 -18.359 -25.386  -0.055   0.124   0.238   0.222
  179  7500  4.00  0.00  2.00  1.25  0.00 -18.211 -18.679 -18.338 -25.386  -0.076   0.062   0.262   0.246
  180  7500  4.50  0.00  2.00  1.25  0.00 -18.237 -18.636 -18.316 -25.386  -0.099  -0.006   0.283   0.267
  181  7500  5.00  0.00  2.00  1.25  0.00 -18.269 -18.597 -18.294 -25.386  -0.121  -0.077   0.301   0.285
  182  7750  1.00  0.00  2.00  1.25  0.00 -18.526 -19.058 -18.533 -25.529  -0.024   0.118   0.078   0.062
  183  7750  1.50  0.00  2.00  1.25  0.00 -18.485 -19.064 -18.532 -25.529  -0.025   0.165   0.072   0.056
  184  7750  2.00  0.00  2.00  1.25  0.00 -18.437 -19.044 -18.530 -25.529  -0.027   0.194   0.090   0.074
  185  7750  2.50  0.00  2.00  1.25  0.00 -18.399 -19.012 -18.524 -25.529  -0.033   0.202   0.115   0.099
  186  7750  3.00  0.00  2.00  1.25  0.00 -18.374 -18.971 -18.513 -25.529  -0.044   0.187   0.146   0.130
  187  7750  3.50  0.00  2.00  1.25  0.00 -18.367 -18.915 -18.501 -25.529  -0.056   0.140   0.189   0.173
  188  7750  4.00  0.00  2.00  1.25  0.00 -18.375 -18.862 -18.482 -25.529  -0.075   0.080   0.223   0.207
  189  7750  4.50  0.00  2.00  1.25  0.00 -18.395 -18.814 -18.459 -25.529  -0.098   0.012   0.248   0.232
  190  7750  5.00  0.00  2.00  1.25  0.00 -18.425 -18.769 -18.435 -25.529  -0.122  -0.061   0.269   0.253
  191  8000  1.00  0.00  2.00  1.25  0.00 -18.719 -19.173 -18.642 -25.667  -0.053   0.039   0.072   0.056
  192  8000  1.50  0.00  2.00  1.25  0.00 -18.689 -19.212 -18.649 -25.667  -0.046   0.107   0.040   0.024
  193  8000  2.00  0.00  2.00  1.25  0.00 -18.639 -19.202 -18.650 -25.667  -0.045   0.148   0.051   0.035
  194  8000  2.50  0.00  2.00  1.25  0.00 -18.592 -19.176 -18.647 -25.667  -0.048   0.170   0.075   0.059
  195  8000  3.00  0.00  2.00  1.25  0.00 -18.555 -19.139 -18.640 -25.667  -0.055   0.172   0.104   0.088
  196  8000  3.50  0.00  2.00  1.25  0.00 -18.533 -19.093 -18.629 -25.667  -0.066   0.150   0.139   0.123
  197  8000  4.00  0.00  2.00  1.25  0.00 -18.531 -19.035 -18.615 -25.667  -0.080   0.096   0.183   0.167
  198  8000  4.50  0.00  2.00  1.25  0.00 -18.544 -18.982 -18.593 -25.667  -0.101   0.030   0.215   0.199
  199  8000  5.00  0.00  2.00  1.25  0.00 -18.569 -18.933 -18.569 -25.667  -0.126  -0.043   0.240   0.224
  200  8250  1.00  0.00  2.00  1.25  0.00 -18.888 -19.251 -18.725 -25.800  -0.104  -0.054   0.077   0.061
  201  8250  1.50  0.00  2.00  1.25  0.00 -18.872 -19.334 -18.751 -25.800  -0.077   0.045   0.021   0.005
  202  8250  2.00  0.00  2.00  1.25  0.00 -18.827 -19.340 -18.757 -25.800  -0.072   0.096   0.020   0.004
  203  8250  2.50  0.00  2.00  1.25  0.00 -18.775 -19.322 -18.757 -25.800  -0.071   0.131   0.039   0.023
  204  8250  3.00  0.00  2.00  1.25  0.00 -18.730 -19.290 -18.754 -25.800  -0.074   0.147   0.068   0.052
  205  8250  3.50  0.00  2.00  1.25  0.00 -18.697 -19.250 -18.747 -25.800  -0.082   0.141   0.100   0.084
  206  8250  4.00  0.00  2.00  1.25  0.00 -18.682 -19.199 -18.735 -25.800  -0.094   0.108   0.139   0.123
  207  8250  4.50  0.00  2.00  1.25  0.00 -18.687 -19.141 -18.719 -25.800  -0.110   0.046   0.181   0.165
  208  8250  5.00  0.00  2.00  1.25  0.00 -18.706 -19.087 -18.696 -25.800  -0.133  -0.026   0.212   0.196
  209  8500  1.50  0.00  2.00  1.25  0.00 -19.034 -19.433 -18.840 -25.930  -0.118  -0.020   0.011  -0.005
  210  8500  2.00  0.00  2.00  1.25  0.00 -18.998 -19.457 -18.851 -25.930  -0.107   0.041  -0.003  -0.019
  211  8500  2.50  0.00  2.00  1.25  0.00 -18.948 -19.449 -18.855 -25.930  -0.103   0.084   0.010  -0.006
  212  8500  3.00  0.00  2.00  1.25  0.00 -18.899 -19.424 -18.856 -25.930  -0.102   0.110   0.035   0.019
  213  8500  3.50  0.00  2.00  1.25  0.00 -18.858 -19.389 -18.852 -25.930  -0.106   0.118   0.067   0.051
  214  8500  4.00  0.00  2.00  1.25  0.00 -18.831 -19.345 -18.844 -25.930  -0.114   0.104   0.102   0.086
  215  8500  4.50  0.00  2.00  1.25  0.00 -18.823 -19.290 -18.832 -25.930  -0.126   0.059   0.145   0.129
  216  8500  5.00  0.00  2.00  1.25  0.00 -18.836 -19.233 -18.814 -25.930  -0.144  -0.010   0.184   0.168
  217  8750  1.50  0.00  2.00  1.25  0.00 -19.179 -19.515 -18.918 -26.056  -0.166  -0.083   0.006  -0.010
