
       Teff log g  [M]a  Vturb l/H  E(B-V)   V       I       R       V-R     V-I     R-I
  169  7250  4.00  0.00  2.00  0.00  0.00 -18.186 -17.808 -17.265   0.173   0.350   0.176
  170  7250  4.50  0.00  2.00  0.00  0.00 -18.165 -17.798 -17.265   0.184   0.371   0.186
  171  7250  5.00  0.00  2.00  0.00  0.00 -18.146 -17.789 -17.265   0.194   0.390   0.196
  172  7500  0.50  0.00  2.00  0.00  0.00 -18.410 -17.946 -17.335   0.087   0.196   0.108
  173  7500  1.00  0.00  2.00  0.00  0.00 -18.406 -17.930 -17.318   0.075   0.183   0.107
  174  7500  1.50  0.00  2.00  0.00  0.00 -18.402 -17.933 -17.322   0.081   0.191   0.108
  175  7500  2.00  0.00  2.00  0.00  0.00 -18.396 -17.936 -17.329   0.091   0.204   0.112
  176  7500  2.50  0.00  2.00  0.00  0.00 -18.387 -17.938 -17.337   0.102   0.221   0.118
  177  7500  3.00  0.00  2.00  0.00  0.00 -18.376 -17.941 -17.348   0.117   0.243   0.126
  178  7500  3.50  0.00  2.00  0.00  0.00 -18.359 -17.939 -17.356   0.131   0.268   0.136
  179  7500  4.00  0.00  2.00  0.00  0.00 -18.338 -17.931 -17.360   0.144   0.293   0.148
  180  7500  4.50  0.00  2.00  0.00  0.00 -18.316 -17.921 -17.361   0.156   0.317   0.160
  181  7500  5.00  0.00  2.00  0.00  0.00 -18.294 -17.910 -17.362   0.167   0.339   0.171
  182  7750  1.00  0.00  2.00  0.00  0.00 -18.533 -18.040 -17.410   0.059   0.148   0.088
  183  7750  1.50  0.00  2.00  0.00  0.00 -18.532 -18.040 -17.409   0.059   0.148   0.088
  184  7750  2.00  0.00  2.00  0.00  0.00 -18.529 -18.044 -17.414   0.066   0.156   0.089
  185  7750  2.50  0.00  2.00  0.00  0.00 -18.523 -18.047 -17.421   0.075   0.169   0.093
  186  7750  3.00  0.00  2.00  0.00  0.00 -18.513 -18.048 -17.429   0.086   0.187   0.100
  187  7750  3.50  0.00  2.00  0.00  0.00 -18.500 -18.050 -17.440   0.101   0.211   0.109
  188  7750  4.00  0.00  2.00  0.00  0.00 -18.481 -18.046 -17.447   0.116   0.237   0.120
  189  7750  4.50  0.00  2.00  0.00  0.00 -18.458 -18.037 -17.451   0.129   0.264   0.133
  190  7750  5.00  0.00  2.00  0.00  0.00 -18.435 -18.025 -17.452   0.142   0.289   0.146
  191  8000  1.00  0.00  2.00  0.00  0.00 -18.641 -18.144 -17.502   0.054   0.132   0.077
  192  8000  1.50  0.00  2.00  0.00  0.00 -18.648 -18.140 -17.492   0.042   0.114   0.071
  193  8000  2.00  0.00  2.00  0.00  0.00 -18.649 -18.144 -17.495   0.046   0.117   0.070
  194  8000  2.50  0.00  2.00  0.00  0.00 -18.646 -18.148 -17.502   0.053   0.127   0.073
  195  8000  3.00  0.00  2.00  0.00  0.00 -18.639 -18.150 -17.509   0.062   0.141   0.078
  196  8000  3.50  0.00  2.00  0.00  0.00 -18.628 -18.151 -17.517   0.074   0.160   0.085
  197  8000  4.00  0.00  2.00  0.00  0.00 -18.614 -18.152 -17.527   0.088   0.184   0.095
  198  8000  4.50  0.00  2.00  0.00  0.00 -18.593 -18.145 -17.534   0.103   0.212   0.108
  199  8000  5.00  0.00  2.00  0.00  0.00 -18.569 -18.135 -17.537   0.117   0.239   0.121
  200  8250  1.00  0.00  2.00  0.00  0.00 -18.724 -18.234 -17.590   0.061   0.137   0.075
  201  8250  1.50  0.00  2.00  0.00  0.00 -18.751 -18.232 -17.572   0.032   0.092   0.059
  202  8250  2.00  0.00  2.00  0.00  0.00 -18.756 -18.235 -17.571   0.030   0.086   0.055
  203  8250  2.50  0.00  2.00  0.00  0.00 -18.757 -18.240 -17.577   0.034   0.090   0.055
  204  8250  3.00  0.00  2.00  0.00  0.00 -18.754 -18.245 -17.584   0.042   0.101   0.058
  205  8250  3.50  0.00  2.00  0.00  0.00 -18.746 -18.246 -17.591   0.051   0.116   0.064
  206  8250  4.00  0.00  2.00  0.00  0.00 -18.734 -18.246 -17.600   0.063   0.137   0.073
  207  8250  4.50  0.00  2.00  0.00  0.00 -18.718 -18.245 -17.610   0.078   0.163   0.084
  208  8250  5.00  0.00  2.00  0.00  0.00 -18.695 -18.237 -17.616   0.093   0.191   0.098
  209  8500  1.50  0.00  2.00  0.00  0.00 -18.840 -18.316 -17.648   0.028   0.079   0.051
  210  8500  2.00  0.00  2.00  0.00  0.00 -18.851 -18.318 -17.643   0.019   0.063   0.044
  211  8500  2.50  0.00  2.00  0.00  0.00 -18.855 -18.324 -17.646   0.020   0.063   0.042
  212  8500  3.00  0.00  2.00  0.00  0.00 -18.856 -18.330 -17.653   0.025   0.069   0.043
  213  8500  3.50  0.00  2.00  0.00  0.00 -18.852 -18.333 -17.661   0.032   0.080   0.046
  214  8500  4.00  0.00  2.00  0.00  0.00 -18.844 -18.334 -17.668   0.042   0.096   0.053
  215  8500  4.50  0.00  2.00  0.00  0.00 -18.832 -18.335 -17.678   0.054   0.118   0.063
  216  8500  5.00  0.00  2.00  0.00  0.00 -18.814 -18.332 -17.688   0.069   0.146   0.075
  217  8750  1.50  0.00  2.00  0.00  0.00 -18.918 -18.394 -17.720   0.027   0.073   0.046
  218  8750  2.00  0.00  2.00  0.00  0.00 -18.935 -18.395 -17.711   0.012   0.048   0.035
  219  8750  2.50  0.00  2.00  0.00  0.00 -18.941 -18.400 -17.712   0.009   0.042   0.031
  220  8750  3.00  0.00  2.00  0.00  0.00 -18.945 -18.406 -17.717   0.012   0.043   0.030
  221  8750  3.50  0.00  2.00  0.00  0.00 -18.946 -18.412 -17.725   0.017   0.050   0.032
  222  8750  4.00  0.00  2.00  0.00  0.00 -18.942 -18.415 -17.733   0.024   0.062   0.037
  223  8750  4.50  0.00  2.00  0.00  0.00 -18.933 -18.416 -17.742   0.034   0.080   0.045
  224  8750  5.00  0.00  2.00  0.00  0.00 -18.921 -18.418 -17.754   0.048   0.104   0.055
  225  9000  1.50  0.00  2.00  0.00  0.00 -18.988 -18.464 -17.787   0.027   0.070   0.042
  226  9000  2.00  0.00  2.00  0.00  0.00 -19.011 -18.468 -17.776   0.008   0.036   0.028
  227  9000  2.50  0.00  2.00  0.00  0.00 -19.020 -18.470 -17.774   0.002   0.025   0.022
  228  9000  3.00  0.00  2.00  0.00  0.00 -19.025 -18.476 -17.777   0.002   0.023   0.020
  229  9000  3.50  0.00  2.00  0.00  0.00 -19.028 -18.482 -17.784   0.006   0.027   0.020
  230  9000  4.00  0.00  2.00  0.00  0.00 -19.028 -18.488 -17.793   0.011   0.036   0.024
  231  9000  4.50  0.00  2.00  0.00  0.00 -19.024 -18.491 -17.802   0.018   0.049   0.030
  232  9000  5.00  0.00  2.00  0.00  0.00 -19.015 -18.492 -17.812   0.028   0.068   0.039
  233  9250  2.00  0.00  2.00  0.00  0.00 -19.082 -18.536 -17.839   0.005   0.028   0.022
  234  9250  2.50  0.00  2.00  0.00  0.00 -19.092 -18.537 -17.833  -0.004   0.012   0.015
  235  9250  3.00  0.00  2.00  0.00  0.00 -19.097 -18.541 -17.833  -0.005   0.007   0.011
  236  9250  3.50  0.00  2.00  0.00  0.00 -19.101 -18.546 -17.838  -0.003   0.009   0.011
  237  9250  4.00  0.00  2.00  0.00  0.00 -19.104 -18.553 -17.847   0.000   0.014   0.013
  238  9250  4.50  0.00  2.00  0.00  0.00 -19.104 -18.559 -17.857   0.006   0.024   0.017
  239  9250  5.00  0.00  2.00  0.00  0.00 -19.100 -18.562 -17.867   0.013   0.038   0.025
  240  9500  2.00  0.00  2.00  0.00  0.00 -19.148 -18.600 -17.898   0.003   0.021   0.017
  241  9500  2.50  0.00  2.00  0.00  0.00 -19.159 -18.601 -17.890  -0.008   0.002   0.008
  242  9500  3.00  0.00  2.00  0.00  0.00 -19.164 -18.602 -17.888  -0.011  -0.006   0.004
  243  9500  3.50  0.00  2.00  0.00  0.00 -19.168 -18.606 -17.890  -0.011  -0.007   0.003
  244  9500  4.00  0.00  2.00  0.00  0.00 -19.172 -18.613 -17.897  -0.008  -0.004   0.003
  245  9500  4.50  0.00  2.00  0.00  0.00 -19.175 -18.619 -17.907  -0.004   0.003   0.007
  246  9500  5.00  0.00  2.00  0.00  0.00 -19.175 -18.625 -17.918   0.001   0.015   0.013
  247  9750  2.00  0.00  2.00  0.00  0.00 -19.212 -18.662 -17.955   0.002   0.015   0.012
  248  9750  2.50  0.00  2.00  0.00  0.00 -19.223 -18.662 -17.946  -0.010  -0.006   0.003
  249  9750  3.00  0.00  2.00  0.00  0.00 -19.228 -18.661 -17.940  -0.016  -0.017  -0.002
  250  9750  3.50  0.00  2.00  0.00  0.00 -19.231 -18.664 -17.940  -0.017  -0.020  -0.004
  251  9750  4.00  0.00  2.00  0.00  0.00 -19.235 -18.668 -17.945  -0.015  -0.019  -0.004
  252  9750  4.50  0.00  2.00  0.00  0.00 -19.238 -18.675 -17.954  -0.013  -0.013  -0.002
  253  9750  5.00  0.00  2.00  0.00  0.00 -19.241 -18.681 -17.965  -0.009  -0.005   0.003
  254 10000  2.00  0.00  2.00  0.00  0.00 -19.272 -18.721 -18.010   0.000   0.009   0.008
  255 10000  2.50  0.00  2.00  0.00  0.00 -19.284 -18.720 -17.999  -0.013  -0.014  -0.002
  256 10000  3.00  0.00  2.00  0.00  0.00 -19.289 -18.719 -17.992  -0.019  -0.026  -0.008
  257 10000  3.50  0.00  2.00  0.00  0.00 -19.291 -18.719 -17.989  -0.021  -0.031  -0.011
  258 10000  4.00  0.00  2.00  0.00  0.00 -19.294 -18.722 -17.992  -0.021  -0.031  -0.011
  259 10000  4.50  0.00  2.00  0.00  0.00 -19.297 -18.727 -17.999  -0.019  -0.028  -0.009
