
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
  117  6000  3.00  0.20  2.00  1.25  0.00 -16.478 -16.458 -17.279 -17.457 -17.326   1.781   1.779   0.368   0.239   0.565   0.563
  118  6000  3.50  0.20  2.00  1.25  0.00 -16.562 -16.541 -17.271 -17.446 -17.315   1.686   1.684   0.370   0.234   0.477   0.476
  119  6000  4.00  0.20  2.00  1.25  0.00 -16.631 -16.611 -17.261 -17.437 -17.307   1.609   1.607   0.370   0.235   0.397   0.395
  120  6000  4.50  0.20  2.00  1.25  0.00 -16.684 -16.663 -17.250 -17.433 -17.302   1.552   1.550   0.369   0.244   0.324   0.323
  121  6000  5.00  0.20  2.00  1.25  0.00 -16.719 -16.699 -17.237 -17.434 -17.299   1.516   1.515   0.366   0.260   0.264   0.262
  122  6250  0.50  0.20  2.00  1.25  0.00 -16.224 -16.204 -17.684 -17.824 -17.604   2.402   2.400   0.279   0.289   1.263   1.261
  123  6250  1.00  0.20  2.00  1.25  0.00 -16.327 -16.307 -17.653 -17.798 -17.593   2.272   2.270   0.295   0.278   1.123   1.121
  124  6250  1.50  0.20  2.00  1.25  0.00 -16.441 -16.421 -17.636 -17.774 -17.579   2.135   2.133   0.305   0.262   0.999   0.996
  125  6250  2.00  0.20  2.00  1.25  0.00 -16.556 -16.536 -17.623 -17.752 -17.565   1.998   1.996   0.313   0.245   0.880   0.878
  126  6250  2.50  0.20  2.00  1.25  0.00 -16.666 -16.646 -17.610 -17.731 -17.550   1.866   1.864   0.320   0.230   0.765   0.763
  127  6250  3.00  0.20  2.00  1.25  0.00 -16.768 -16.748 -17.596 -17.712 -17.537   1.745   1.743   0.325   0.220   0.653   0.652
  128  6250  3.50  0.20  2.00  1.25  0.00 -16.860 -16.839 -17.580 -17.695 -17.524   1.637   1.635   0.329   0.214   0.547   0.546
  129  6250  4.00  0.20  2.00  1.25  0.00 -16.938 -16.918 -17.564 -17.681 -17.513   1.545   1.543   0.332   0.214   0.450   0.448
  130  6250  4.50  0.20  2.00  1.25  0.00 -17.002 -16.982 -17.547 -17.672 -17.505   1.471   1.470   0.334   0.220   0.362   0.360
  131  6250  5.00  0.20  2.00  1.25  0.00 -17.051 -17.030 -17.531 -17.667 -17.500   1.418   1.417   0.333   0.232   0.286   0.285
  132  6500  0.50  0.20  2.00  1.25  0.00 -16.496 -16.475 -18.037 -18.079 -17.797   2.385   2.384   0.218   0.254   1.441   1.439
  133  6500  1.00  0.20  2.00  1.25  0.00 -16.581 -16.561 -18.005 -18.054 -17.786   2.274   2.272   0.233   0.245   1.316   1.314
  134  6500  1.50  0.20  2.00  1.25  0.00 -16.688 -16.668 -17.963 -18.025 -17.777   2.138   2.136   0.252   0.238   1.155   1.154
  135  6500  2.00  0.20  2.00  1.25  0.00 -16.801 -16.780 -17.935 -17.998 -17.763   1.999   1.998   0.265   0.226   1.014   1.012
  136  6500  2.50  0.20  2.00  1.25  0.00 -16.912 -16.892 -17.912 -17.973 -17.748   1.863   1.861   0.276   0.215   0.880   0.879
  137  6500  3.00  0.20  2.00  1.25  0.00 -17.018 -16.998 -17.888 -17.949 -17.733   1.733   1.731   0.284   0.206   0.751   0.749
