
       Teff log g  [M]a Vturb  l/H  E(B-V)   V       I       R       V-R     V-I     R-I
  171  7250  5.00  0.20  2.00  1.25  0.00 -18.167 -17.812 -17.284   0.196   0.388   0.191
  172  7500  0.50  0.20  2.00  1.25  0.00 -18.419 -17.959 -17.346   0.091   0.197   0.106
  173  7500  1.00  0.20  2.00  1.25  0.00 -18.415 -17.942 -17.327   0.078   0.183   0.104
  174  7500  1.50  0.20  2.00  1.25  0.00 -18.412 -17.945 -17.332   0.084   0.191   0.105
  175  7500  2.00  0.20  2.00  1.25  0.00 -18.407 -17.950 -17.340   0.094   0.204   0.109
  176  7500  2.50  0.20  2.00  1.25  0.00 -18.399 -17.952 -17.348   0.104   0.221   0.115
  177  7500  3.00  0.20  2.00  1.25  0.00 -18.389 -17.957 -17.360   0.119   0.243   0.123
  178  7500  3.50  0.20  2.00  1.25  0.00 -18.374 -17.956 -17.370   0.133   0.267   0.133
  179  7500  4.00  0.20  2.00  1.25  0.00 -18.355 -17.950 -17.375   0.146   0.291   0.144
  180  7500  4.50  0.20  2.00  1.25  0.00 -18.335 -17.942 -17.378   0.158   0.315   0.156
  181  7500  5.00  0.20  2.00  1.25  0.00 -18.314 -17.933 -17.380   0.169   0.337   0.166
  182  7750  1.00  0.20  2.00  1.25  0.00 -18.543 -18.052 -17.418   0.060   0.146   0.085
  183  7750  1.50  0.20  2.00  1.25  0.00 -18.542 -18.052 -17.417   0.061   0.146   0.084
  184  7750  2.00  0.20  2.00  1.25  0.00 -18.540 -18.057 -17.423   0.068   0.154   0.085
  185  7750  2.50  0.20  2.00  1.25  0.00 -18.535 -18.060 -17.431   0.077   0.168   0.090
  186  7750  3.00  0.20  2.00  1.25  0.00 -18.525 -18.062 -17.440   0.088   0.186   0.097
  187  7750  3.50  0.20  2.00  1.25  0.00 -18.514 -18.066 -17.453   0.103   0.209   0.105
  188  7750  4.00  0.20  2.00  1.25  0.00 -18.497 -18.064 -17.462   0.118   0.235   0.117
  189  7750  4.50  0.20  2.00  1.25  0.00 -18.477 -18.057 -17.467   0.131   0.261   0.129
  190  7750  5.00  0.20  2.00  1.25  0.00 -18.455 -18.047 -17.470   0.143   0.286   0.142
  191  8000  1.00  0.20  2.00  1.25  0.00 -18.652 -18.156 -17.512   0.056   0.131   0.075
  192  8000  1.50  0.20  2.00  1.25  0.00 -18.659 -18.152 -17.501   0.044   0.113   0.068
  193  8000  2.00  0.20  2.00  1.25  0.00 -18.661 -18.156 -17.503   0.046   0.114   0.066
  194  8000  2.50  0.20  2.00  1.25  0.00 -18.658 -18.161 -17.510   0.053   0.123   0.068
  195  8000  3.00  0.20  2.00  1.25  0.00 -18.652 -18.164 -17.518   0.063   0.137   0.073
  196  8000  3.50  0.20  2.00  1.25  0.00 -18.642 -18.165 -17.527   0.074   0.156   0.081
  197  8000  4.00  0.20  2.00  1.25  0.00 -18.629 -18.168 -17.540   0.090   0.182   0.091
  198  8000  4.50  0.20  2.00  1.25  0.00 -18.610 -18.164 -17.548   0.105   0.209   0.104
  199  8000  5.00  0.20  2.00  1.25  0.00 -18.588 -18.155 -17.553   0.118   0.237   0.117
  200  8250  1.00  0.20  2.00  1.25  0.00 -18.736 -18.248 -17.602   0.063   0.137   0.073
  201  8250  1.50  0.20  2.00  1.25  0.00 -18.763 -18.245 -17.582   0.033   0.090   0.056
  202  8250  2.00  0.20  2.00  1.25  0.00 -18.768 -18.248 -17.581   0.031   0.084   0.052
  203  8250  2.50  0.20  2.00  1.25  0.00 -18.769 -18.254 -17.586   0.036   0.088   0.052
  204  8250  3.00  0.20  2.00  1.25  0.00 -18.767 -18.257 -17.592   0.042   0.096   0.054
  205  8250  3.50  0.20  2.00  1.25  0.00 -18.760 -18.260 -17.600   0.051   0.111   0.059
  206  8250  4.00  0.20  2.00  1.25  0.00 -18.749 -18.261 -17.610   0.063   0.133   0.068
  207  8250  4.50  0.20  2.00  1.25  0.00 -18.734 -18.262 -17.623   0.079   0.160   0.080
  208  8250  5.00  0.20  2.00  1.25  0.00 -18.713 -18.256 -17.631   0.094   0.189   0.094
  209  8500  1.50  0.20  2.00  1.25  0.00 -18.853 -18.331 -17.660   0.029   0.077   0.048
  210  8500  2.00  0.20  2.00  1.25  0.00 -18.864 -18.333 -17.654   0.020   0.061   0.040
  211  8500  2.50  0.20  2.00  1.25  0.00 -18.868 -18.338 -17.657   0.021   0.060   0.038
  212  8500  3.00  0.20  2.00  1.25  0.00 -18.869 -18.344 -17.663   0.026   0.066   0.039
  213  8500  3.50  0.20  2.00  1.25  0.00 -18.865 -18.348 -17.671   0.033   0.077   0.042
  214  8500  4.00  0.20  2.00  1.25  0.00 -18.857 -18.349 -17.679   0.042   0.093   0.049
  215  8500  4.50  0.20  2.00  1.25  0.00 -18.847 -18.350 -17.689   0.054   0.114   0.058
  216  8500  5.00  0.20  2.00  1.25  0.00 -18.830 -18.349 -17.702   0.070   0.143   0.071
  217  8750  1.50  0.20  2.00  1.25  0.00 -18.932 -18.409 -17.733   0.028   0.073   0.043
  218  8750  2.00  0.20  2.00  1.25  0.00 -18.950 -18.411 -17.724   0.013   0.046   0.032
  219  8750  2.50  0.20  2.00  1.25  0.00 -18.957 -18.416 -17.724   0.010   0.038   0.027
  220  8750  3.00  0.20  2.00  1.25  0.00 -18.960 -18.422 -17.729   0.013   0.040   0.026
  221  8750  3.50  0.20  2.00  1.25  0.00 -18.960 -18.427 -17.736   0.018   0.047   0.028
  222  8750  4.00  0.20  2.00  1.25  0.00 -18.957 -18.431 -17.744   0.025   0.059   0.033
  223  8750  4.50  0.20  2.00  1.25  0.00 -18.948 -18.431 -17.753   0.034   0.076   0.041
  224  8750  5.00  0.20  2.00  1.25  0.00 -18.936 -18.433 -17.766   0.048   0.100   0.051
  225  9000  1.50  0.20  2.00  0.00  0.00 -19.002 -18.480 -17.801   0.029   0.069   0.039
  226  9000  2.00  0.20  2.00  0.00  0.00 -19.027 -18.484 -17.791   0.009   0.035   0.025
  227  9000  2.50  0.20  2.00  0.00  0.00 -19.037 -18.488 -17.788   0.002   0.022   0.019
  228  9000  3.00  0.20  2.00  0.00  0.00 -19.042 -18.494 -17.791   0.002   0.020   0.016
