
       Teff log g  [M]a Vturb  l/H   small     big    beta
  242  9500  4.50 -2.00  2.00  0.00 -18.972 -19.293   2.947
  243  9500  5.00 -2.00  2.00  0.00 -18.915 -19.251   2.967
  244  9750  2.00 -2.00  2.00  0.00 -19.345 -19.446   2.647
  245  9750  2.50 -2.00  2.00  0.00 -19.309 -19.454   2.707
  246  9750  3.00 -2.00  2.00  0.00 -19.255 -19.447   2.771
  247  9750  3.50 -2.00  2.00  0.00 -19.189 -19.430   2.837
  248  9750  4.00 -2.00  2.00  0.00 -19.120 -19.404   2.896
  249  9750  4.50 -2.00  2.00  0.00 -19.053 -19.371   2.942
  250  9750  5.00 -2.00  2.00  0.00 -18.993 -19.331   2.970
  251 10000  2.00 -2.00  2.00  0.00 -19.412 -19.506   2.637
  252 10000  2.50 -2.00  2.00  0.00 -19.380 -19.515   2.694
  253 10000  3.00 -2.00  2.00  0.00 -19.330 -19.510   2.755
  254 10000  3.50 -2.00  2.00  0.00 -19.267 -19.496   2.820
  255 10000  4.00 -2.00  2.00  0.00 -19.199 -19.473   2.883
  256 10000  4.50 -2.00  2.00  0.00 -19.131 -19.443   2.934
  257 10000  5.00 -2.00  2.00  0.00 -19.068 -19.406   2.969
  258 10500  2.00 -2.00  2.00  0.00 -19.536 -19.618   2.621
  259 10500  2.50 -2.00  2.00  0.00 -19.509 -19.629   2.673
  260 10500  3.00 -2.00  2.00  0.00 -19.465 -19.626   2.729
  261 10500  3.50 -2.00  2.00  0.00 -19.408 -19.615   2.790
  262 10500  4.00 -2.00  2.00  0.00 -19.343 -19.596   2.854
  263 10500  4.50 -2.00  2.00  0.00 -19.275 -19.571   2.912
  264 10500  5.00 -2.00  2.00  0.00 -19.209 -19.538   2.957
  265 11000  2.50 -2.00  2.00  0.00 -19.625 -19.733   2.657
  266 11000  3.00 -2.00  2.00  0.00 -19.584 -19.731   2.709
  267 11000  3.50 -2.00  2.00  0.00 -19.533 -19.721   2.766
  268 11000  4.00 -2.00  2.00  0.00 -19.473 -19.705   2.826
  269 11000  4.50 -2.00  2.00  0.00 -19.406 -19.683   2.887
  270 11000  5.00 -2.00  2.00  0.00 -19.339 -19.655   2.939
  271 11500  2.50 -2.00  2.00  0.00 -19.731 -19.830   2.645
  272 11500  3.00 -2.00  2.00  0.00 -19.693 -19.828   2.694
  273 11500  3.50 -2.00  2.00  0.00 -19.645 -19.819   2.746
  274 11500  4.00 -2.00  2.00  0.00 -19.589 -19.805   2.803
  275 11500  4.50 -2.00  2.00  0.00 -19.526 -19.785   2.862
  276 11500  5.00 -2.00  2.00  0.00 -19.460 -19.760   2.918
  277 12000  2.50 -2.00  2.00  0.00 -19.829 -19.921   2.634
  278 12000  3.00 -2.00  2.00  0.00 -19.793 -19.918   2.681
  279 12000  3.50 -2.00  2.00  0.00 -19.747 -19.909   2.730
  280 12000  4.00 -2.00  2.00  0.00 -19.695 -19.896   2.784
  281 12000  4.50 -2.00  2.00  0.00 -19.635 -19.879   2.840
  282 12000  5.00 -2.00  2.00  0.00 -19.572 -19.856   2.896
  283 12500  2.50 -2.00  2.00  0.00 -19.921 -20.006   2.625
  284 12500  3.00 -2.00  2.00  0.00 -19.886 -20.003   2.670
  285 12500  3.50 -2.00  2.00  0.00 -19.842 -19.994   2.717
  286 12500  4.00 -2.00  2.00  0.00 -19.792 -19.981   2.768
  287 12500  4.50 -2.00  2.00  0.00 -19.736 -19.965   2.821
  288 12500  5.00 -2.00  2.00  0.00 -19.676 -19.944   2.875
  289 13000  2.50 -2.00  2.00  0.00 -20.008 -20.086   2.617
  290 13000  3.00 -2.00  2.00  0.00 -19.973 -20.083   2.660
  291 13000  3.50 -2.00  2.00  0.00 -19.930 -20.074   2.705
  292 13000  4.00 -2.00  2.00  0.00 -19.882 -20.061   2.754
  293 13000  4.50 -2.00  2.00  0.00 -19.829 -20.046   2.805
  294 13000  5.00 -2.00  2.00  0.00 -19.772 -20.026   2.856
  295 14000  2.00 -2.00  2.00  0.00 -20.187 -20.224   2.560
  296 14000  2.50 -2.00  2.00  0.00 -20.169 -20.237   2.602
  297 14000  3.00 -2.00  2.00  0.00 -20.133 -20.231   2.643
  298 14000  3.50 -2.00  2.00  0.00 -20.092 -20.221   2.686
  299 14000  4.00 -2.00  2.00  0.00 -20.047 -20.209   2.731
  300 14000  4.50 -2.00  2.00  0.00 -19.998 -20.194   2.777
  301 14000  5.00 -2.00  2.00  0.00 -19.945 -20.177   2.825
  302 15000  2.50 -2.00  2.00  0.00 -20.317 -20.375   2.589
  303 15000  3.00 -2.00  2.00  0.00 -20.280 -20.368   2.629
  304 15000  3.50 -2.00  2.00  0.00 -20.239 -20.356   2.669
  305 15000  4.00 -2.00  2.00  0.00 -20.195 -20.343   2.712
  306 15000  4.50 -2.00  2.00  0.00 -20.148 -20.329   2.756
  307 15000  5.00 -2.00  2.00  0.00 -20.099 -20.313   2.800
  308 16000  2.50 -2.00  2.00  0.00 -20.454 -20.504   2.578
  309 16000  3.00 -2.00  2.00  0.00 -20.416 -20.495   2.617
  310 16000  3.50 -2.00  2.00  0.00 -20.374 -20.481   2.655
  311 16000  4.00 -2.00  2.00  0.00 -20.330 -20.467   2.696
