
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta 
  233  9250  3.50 -1.50  2.00  0.00  0.00   1.504   1.504   0.010   0.139   1.204   1.204   2.871
  234  9250  4.00 -1.50  2.00  0.00  0.00   1.464   1.464   0.017   0.168   1.094   1.094   2.918
  235  9250  4.50 -1.50  2.00  0.00  0.00   1.401   1.402   0.027   0.197   0.950   0.951   2.947
  236  9250  5.00 -1.50  2.00  0.00  0.00   1.316   1.316   0.041   0.224   0.783   0.783   2.959
  237  9500  2.00 -1.50  2.00  0.00  0.00   1.357   1.358   0.023   0.075   1.160   1.161   2.659
  238  9500  2.50 -1.50  2.00  0.00  0.00   1.424   1.424   0.009   0.089   1.226   1.226   2.723
  239  9500  3.00 -1.50  2.00  0.00  0.00   1.447   1.448   0.004   0.108   1.223   1.223   2.789
  240  9500  3.50 -1.50  2.00  0.00  0.00   1.444   1.445   0.004   0.132   1.171   1.171   2.854
  241  9500  4.00 -1.50  2.00  0.00  0.00   1.419   1.420   0.008   0.161   1.079   1.079   2.909
  242  9500  4.50 -1.50  2.00  0.00  0.00   1.372   1.372   0.016   0.194   0.950   0.951   2.947
  243  9500  5.00 -1.50  2.00  0.00  0.00   1.302   1.303   0.029   0.225   0.793   0.793   2.968
  244  9750  2.00 -1.50  2.00  0.00  0.00   1.272   1.273   0.021   0.073   1.083   1.083   2.646
  245  9750  2.50 -1.50  2.00  0.00  0.00   1.347   1.348   0.006   0.086   1.160   1.160   2.706
  246  9750  3.00 -1.50  2.00  0.00  0.00   1.378   1.379   0.000   0.103   1.170   1.170   2.771
  247  9750  3.50 -1.50  2.00  0.00  0.00   1.384   1.384  -0.001   0.126   1.133   1.133   2.837
  248  9750  4.00 -1.50  2.00  0.00  0.00   1.370   1.370   0.001   0.155   1.055   1.056   2.897
  249  9750  4.50 -1.50  2.00  0.00  0.00   1.335   1.336   0.008   0.188   0.942   0.942   2.943
