
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
  138  6500  3.50  0.20  2.00  0.00  0.00 -17.107 -17.086 -17.859 -17.921 -17.713   1.616   1.615   0.292   0.200   0.631   0.630
  139  6500  4.00  0.20  2.00  0.00  0.00 -17.191 -17.170 -17.832 -17.901 -17.700   1.512   1.511   0.299   0.200   0.513   0.512
  140  6500  4.50  0.20  2.00  0.00  0.00 -17.261 -17.240 -17.806 -17.886 -17.690   1.427   1.426   0.304   0.206   0.407   0.406
  141  6500  5.00  0.20  2.00  0.00  0.00 -17.315 -17.293 -17.783 -17.876 -17.683   1.364   1.363   0.307   0.216   0.317   0.316
  142  6750  0.50  0.20  2.00  0.00  0.00 -16.741 -16.720 -18.355 -18.299 -17.966   2.360   2.358   0.167   0.205   1.613   1.612
  143  6750  1.00  0.20  2.00  0.00  0.00 -16.807 -16.786 -18.328 -18.280 -17.957   2.275   2.274   0.176   0.205   1.511   1.510
  144  6750  1.50  0.20  2.00  0.00  0.00 -16.902 -16.881 -18.284 -18.254 -17.949   2.154   2.152   0.195   0.204   1.353   1.352
  145  6750  2.00  0.20  2.00  0.00  0.00 -17.010 -16.990 -18.232 -18.223 -17.940   2.015   2.014   0.217   0.203   1.173   1.171
  146  6750  2.50  0.20  2.00  0.00  0.00 -17.120 -17.099 -18.193 -18.194 -17.926   1.876   1.875   0.232   0.198   1.014   1.013
  147  6750  3.00  0.20  2.00  0.00  0.00 -17.228 -17.207 -18.158 -18.166 -17.910   1.740   1.739   0.244   0.192   0.866   0.865
  148  6750  3.50  0.20  2.00  0.00  0.00 -17.330 -17.309 -18.124 -18.138 -17.893   1.611   1.610   0.255   0.188   0.722   0.721
  149  6750  4.00  0.20  2.00  0.00  0.00 -17.423 -17.402 -18.091 -18.114 -17.878   1.492   1.492   0.264   0.187   0.587   0.586
  150  6750  4.50  0.20  2.00  0.00  0.00 -17.505 -17.484 -18.059 -18.092 -17.864   1.389   1.388   0.272   0.190   0.463   0.462
  151  6750  5.00  0.20  2.00  0.00  0.00 -17.572 -17.551 -18.032 -18.077 -17.854   1.307   1.306   0.277   0.197   0.356   0.355
  152  7000  0.50  0.20  2.00  0.00  0.00 -16.985 -16.964 -18.619 -18.499 -18.131   2.316   2.315   0.131   0.177   1.697   1.696
  153  7000  1.00  0.20  2.00  0.00  0.00 -17.028 -17.006 -18.600 -18.488 -18.123   2.262   2.261   0.135   0.182   1.627   1.626
  154  7000  1.50  0.20  2.00  0.00  0.00 -17.105 -17.084 -18.567 -18.469 -18.115   2.166   2.165   0.146   0.186   1.502   1.501
  155  7000  2.00  0.20  2.00  0.00  0.00 -17.204 -17.183 -18.515 -18.441 -18.108   2.039   2.038   0.167   0.188   1.326   1.325
  156  7000  2.50  0.20  2.00  0.00  0.00 -17.312 -17.291 -18.457 -18.408 -18.098   1.898   1.897   0.190   0.189   1.137   1.136
  157  7000  3.00  0.20  2.00  0.00  0.00 -17.419 -17.398 -18.412 -18.376 -18.082   1.759   1.758   0.207   0.186   0.971   0.970
  158  7000  3.50  0.20  2.00  0.00  0.00 -17.524 -17.503 -18.370 -18.344 -18.065   1.622   1.622   0.220   0.183   0.814   0.813
  159  7000  4.00  0.20  2.00  0.00  0.00 -17.623 -17.602 -18.330 -18.315 -18.047   1.494   1.493   0.232   0.182   0.665   0.664
  160  7000  4.50  0.20  2.00  0.00  0.00 -17.714 -17.693 -18.293 -18.288 -18.030   1.376   1.376   0.242   0.182   0.526   0.526
  161  7000  5.00  0.20  2.00  0.00  0.00 -17.793 -17.772 -18.260 -18.266 -18.016   1.275   1.275   0.250   0.186   0.402   0.401
  162  7250  0.50  0.20  2.00  0.00  0.00 -17.238 -17.217 -18.835 -18.671 -18.284   2.235   2.235   0.113   0.153   1.702   1.702
  163  7250  1.00  0.20  2.00  0.00  0.00 -17.245 -17.224 -18.840 -18.674 -18.276   2.230   2.230   0.102   0.160   1.704   1.703
  164  7250  1.50  0.20  2.00  0.00  0.00 -17.305 -17.283 -18.812 -18.661 -18.271   2.158   2.158   0.110   0.168   1.601   1.600
  165  7250  2.00  0.20  2.00  0.00  0.00 -17.388 -17.367 -18.773 -18.641 -18.263   2.055   2.055   0.122   0.175   1.458   1.458
  166  7250  2.50  0.20  2.00  0.00  0.00 -17.488 -17.467 -18.713 -18.610 -18.255   1.924   1.923   0.146   0.180   1.270   1.269
  167  7250  3.00  0.20  2.00  0.00  0.00 -17.594 -17.573 -18.650 -18.574 -18.243   1.782   1.782   0.169   0.183   1.075   1.074
  168  7250  3.50  0.20  2.00  0.00  0.00 -17.698 -17.677 -18.599 -18.539 -18.226   1.643   1.642   0.187   0.183   0.903   0.902
  169  7250  4.00  0.20  2.00  0.00  0.00 -17.799 -17.778 -18.553 -18.506 -18.207   1.509   1.508   0.200   0.182   0.743   0.742
  170  7250  4.50  0.20  2.00  0.00  0.00 -17.896 -17.874 -18.510 -18.475 -18.187   1.381   1.380   0.213   0.181   0.592   0.591
  171  7250  5.00  0.20  2.00  0.00  0.00 -17.984 -17.962 -18.471 -18.447 -18.170   1.265   1.265   0.223   0.183   0.452   0.452
  172  7500  0.50  0.20  2.00  0.00  0.00 -17.535 -17.513 -18.973 -18.795 -18.424   2.061   2.061   0.129   0.122   1.558   1.558
  173  7500  1.00  0.20  2.00  0.00  0.00 -17.473 -17.451 -19.046 -18.835 -18.416   2.165   2.164   0.081   0.138   1.725   1.725
  174  7500  1.50  0.20  2.00  0.00  0.00 -17.507 -17.485 -19.030 -18.832 -18.413   2.127   2.127   0.081   0.149   1.664   1.663
  175  7500  2.00  0.20  2.00  0.00  0.00 -17.574 -17.552 -18.995 -18.818 -18.408   2.046   2.046   0.090   0.162   1.540   1.540
  176  7500  2.50  0.20  2.00  0.00  0.00 -17.658 -17.636 -18.948 -18.797 -18.401   1.941   1.941   0.104   0.174   1.384   1.384
  177  7500  3.00  0.20  2.00  0.00  0.00 -17.757 -17.736 -18.881 -18.762 -18.392   1.807   1.807   0.129   0.181   1.185   1.185
  178  7500  3.50  0.20  2.00  0.00  0.00 -17.859 -17.838 -18.817 -18.725 -18.377   1.667   1.667   0.153   0.184   0.992   0.991
  179  7500  4.00  0.20  2.00  0.00  0.00 -17.960 -17.938 -18.762 -18.688 -18.358   1.530   1.530   0.170   0.185   0.818   0.818
  180  7500  4.50  0.20  2.00  0.00  0.00 -18.058 -18.037 -18.712 -18.653 -18.337   1.396   1.396   0.185   0.185   0.655   0.655
  181  7500  5.00  0.20  2.00  0.00  0.00 -18.152 -18.130 -18.667 -18.620 -18.317   1.270   1.270   0.197   0.185   0.504   0.504
  182  7750  1.00  0.20  2.00  0.00  0.00 -17.715 -17.693 -19.209 -18.971 -18.544   2.059   2.059   0.072   0.118   1.675   1.675
